Key,English,German
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Ausgenommener Hering 2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Ausgenommener Tintenfisch
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Ausgenommener Tintenfisch 2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Ausgenommene Makrele
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Ausgenommene Makrele 2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Ausgenommener Aal
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Ausgenommener Aal 2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Ausgenommener Lachs
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Ausgenommener Lachs 2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Ausgenommener Thunfisch
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Ausgenommener Thunfisch 2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Käse
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Tomatensauce
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Brotteig
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Butter
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Gekochter Reis
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Fischsauce
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,Lutscher
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,Fleischspieß
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,Keks
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Fischbällchen
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pan Cake,Meeresfrüchte-Pfannkuchen
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,Fischsuppe
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,Brötchen
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,Wurstauflauf
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,Hotdog
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,Fischeintopf
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,Pizza
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,Gedämpfte Meeresfrüchte
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Gegrillte Makrele
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,Hähnchenspieß
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Gebratener Tintenfisch
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,Sternbonbon
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Fischkotelett
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,Fleischsalat
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,Meeresfrüchtepizza
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Gebratene Garnele
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Garnelenreis
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,Gratin
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,Koralleninsel Curry
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Thunfisch-Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Rotes Fischbällchen
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Blaues Fischbällchen
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Grünes Fischbällchen
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Lila Fischbällchen
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Regenbogen-Fischbällchen
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Oranges Fischbällchen
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Himmelblaues Fischbällchen
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Gelbes Fischbällchen
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Pinkes Fischbällchen
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Graues Fischbällchen
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,Weißes Fischbällchen
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Matjeshering
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Lachssteak
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Fischsandwich
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Gegrillter gesalzener Aal
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Sperrholz
PRODUCTION_RECIPE_NAME_RESIN,Resin,Harz
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Veredelungsmaterial
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Zedernholz
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Kirschholz
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Kiefernholz
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Ahornholz
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Eichenholz
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Walnussholz
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Teakholz
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Ebenholz
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Mahagoniholz
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Rote Farbe
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Blaue Farbe
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Gelbe Farbe
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Grüne Farbe
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Schwarze Farbe
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,Weiße Farbe
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Goldfarbe
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,Holztisch
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,Holzkommode
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,Holzbücherschrank
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,Holzsofa
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,Gelber Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,Gelber Holztisch
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,Gelber Frisiertisch aus Holz
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,Gelber Holzschrank
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,Gelbe Holzbank
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,Gelbes Holz-Kabinett
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,Gelbes Holzbett
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,Blauer Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,Blauer Holztisch
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,Blauer Frisiertisch aus Holz
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,Blauer Holzschrank
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,Blaue Holzbank
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,Blaues Holz-Kabinett
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,Blaues Holzbett
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,Roter Holzstuhl
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,Roter Holztisch
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,Roter Frisiertisch aus Holz
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,Roter Holzschrank
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,Rote Holzbank
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,Rotes Holz-Kabinett
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,Rotes Holzbett
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,Musik-Stuhl
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,Musik-Tisch
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,Musik-Frisiertisch
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,Musik-Garderobe
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,Musik-Sofa
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,Musik-Kabinett
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,Musik-Bett
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,Moderner Stuhl
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,Moderner Tisch
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,Moderner Frisiertisch
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,Moderne Garderobe
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,Modernes Sofa
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,Modernes Kabinett
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,Modernes Bett
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,Schwarzer Design-Stuhl
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,Weißer Design-Stuhl
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,Design-Tisch
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,Design Kommode
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,Design-Bücherschrank
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,Design-Sofa
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,Herz-Stuhl
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,Herz-Tisch
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,Herz-Frisiertisch
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,Herz-Garderobe
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,Herz-Sofa
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,Herz-Kabinett
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,Herz-Bett
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,Polsterstuhl
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,Kommandoplattform
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,Kleiner Tisch
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,Kommode
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,Einzelbett
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,Königlicher Stuhl
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,Königlicher Tisch
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,Königlicher Frisiertisch
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,Königliche Garderobe
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,Königliches Sofa
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,Königliches Bett
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,Königliche Kommode
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,Königlicher Bücherschrank
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,Königlicher Schreibtisch
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,Königliches Bad
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,Königlicher Goldstuhl
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,Königlicher Goldtisch
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,Königlicher Frisiertisch aus Gold
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,Königliche Goldgarderobe
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,Königliches Goldsofa
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,Königliches Goldbett
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,Königliche Goldkommode
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,Königlicher Goldbücherschrank
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,Königlicher Goldschreibtisch
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,Königliches Goldbad
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Alchemie Tisch
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Feuerstelle
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Tischlerei-Arbeitsbereich
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Schmiede-Arbeitsbereich
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Juwelenpulver
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Marmor
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Kristall
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Polierter Türkis
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Malachit
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Polierte Jade
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Poliertes Silber
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Poliertes Gold
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Poliertes Platin
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Polierter Diamant
PRODUCTION_RECIPE_NAME_GLASS,Glass,Glas
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Kunstperle
PRODUCTION_RECIPE_NAME_FLASK,Flask,Flasche
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Scharnier
PRODUCTION_RECIPE_NAME_SPRING,Spring,Feder
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Goldene Kugel
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Juwelenschnur
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Silberarbeit
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Goldarbeit
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,Rotierender Globus
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,Kronleuchter
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Spiegel
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Silberarbeit des Angriffes
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Silberarbeit der Verteidigung
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Goldarbeit des Angriffes
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Goldarbeit des Magie-Angriffes
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Goldarbeit der Verteidigung
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Goldarbeit der Magie-Resistenz
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Geschliffene Jade des Feuer-Angriffes
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Geschliffene Jade des Wasser-Angriffes
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Geschliffene Jade des Wind-Angriffes
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Geschliffene Jade des Erd-Angriffes
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Geschliffene Jade des Blitz-Angriffes
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Geschliffene Jade der Feuer-Verteidigung
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Geschliffene Jade der Wasser-Verteidigung
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Geschliffene Jade der Wind-Verteidigung
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Geschliffene Jade der Erd-Verteidigung
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Geschliffene Jade der Blitz-Verteidigung
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,Vigor Ring
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,Stam Ring
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,Arek Ring
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Inteli Ring
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,Plug Ohrring
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,Demol Ohrring
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,Gore Halskette
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,Mental Halskette
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,Peision Halskette
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted silver ring,Handgefertigter Silberring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted gold ring,Handgefertigter Goldring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted platinum ring,Handgefertigter Platinring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted diamond ring,Handgefertigter Diamantring
