Key,English,German
UI_CHARINFO_PLUSMINUS_TOOLTIP,Select Apply after you change your Stat points.,"Klicke auf Apply, wenn du deine Statuspunkte verteilt hast."
UI_CHARINFO_STR_TOOLTIP,Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc),Erhöht die Angriffskraft deiner Waffe (#cffb40000gilt nicht für Wands#nc)
UI_CHARINFO_STA_TOOLTIP,"Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased","Verstärkt Verteidigung, Max. HP, Max. FP\nHP, FP Wiederherstellungsrate erhöht"
UI_CHARINFO_DEX_TOOLTIP,"Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc",Angriffsgeschwindigkeit erhöht\nAusweich- und Blockchance erhöht\nErhöht kritische Trefferchance.\n#cffb40000Angriffskraft des Bogens erhöht.#nc
UI_CHARINFO_INT_TOOLTIP,Amount of Max. MP is increased.\nMagic Attack Power,Erhöht die Menge an Max. MP.\nMagische Angriffskraft
UI_CHARINFO_GP_TOOLTIP,Select Apply after you change your Stat points.,"Klicke auf Apply, wenn du deine Statuspunkte verteilt hast."
UI_CHARINFO_PVP_DUELFAME,Duel Fame,Duellruhm
UI_CHARINFO_PVP_DUELPOINT,Duel Point,Duellpunkte
UI_CHARINFO_PVP_KILLPOINT,Killing Point,Kill Punkte
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,Karma Level
UI_CHARINFO_PVP_KARMAPOINT,Karma Point,Karma Punkte
UI_CHARINFO_PVPPK,PVP/PK,PVP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,Geschlecht: Männlich
UI_TOOLTIP_SEX_FEMALE,Sex: Female,Geschlecht: Weiblich
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,Zeitreduktion Level
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,Ertragsbonus Level
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,Carrier Chance Bonus Level
UI_TOOLTIP_ONEHAND,One-handed weapon.,Einhandwaffe
UI_TOOLTIP_TWOHAND,Two-handed weapon.,Zweihandwaffe
UI_TOOLTIP_ATTACK_BASE,Base Attack:,Grundschaden:
UI_TOOLTIP_DEF_BASE,Base Defense:,Grundverteidigung:
UI_TOOLTIP_ATTACK,Attack:,ATK :
UI_TOOLTIP_DEF_A,Defense:,Verteidigung:
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s,Angriffstempo: %s
UI_TOOLTIP_REQ_JOB,Req Job:,Benötigte Klasse:
UI_TOOLTIP_REQ_LEVEL,Required Level: %d,Benötigtes Level: %d
UI_TOOLTIP_REQ,Requires %s,Requires %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d,MP Wiederherst. Rate: %d
UI_TOOLTIP_CONSUME_MP,MP: %d,MP: %d
UI_TOOLTIP_CONSUME_FP,FP: %d,FP: %d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d,HP Wiederherst. Rate: %d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d,FP Wiederherst. Rate: %d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d,Maximum Wiederherst. Rate: %d
UI_TOOLTIP_INV_SUIT,Suit,Rüstung
UI_TOOLTIP_INV_GAUNTLET,Gauntlet,Handschuhe
UI_TOOLTIP_INV_BOOTS,Boots,Stiefel
UI_TOOLTIP_INV_HELMET,Helmet,Helm
UI_TOOLTIP_INV_CLO,Cloak,Umhang
UI_TOOLTIP_INV_WEAPON,Weapon,Waffen
UI_TOOLTIP_INV_GUARD,Shield,Shield
UI_TOOLTIP_INV_MASK,Mask,Maske
UI_TOOLTIP_INV_RID,Flying Item,Fluggerät
UI_TOOLTIP_INV_NECKLACE,Necklace,Halskette
UI_TOOLTIP_INV_RING,Ring,Ring
UI_TOOLTIP_INV_EARRING,Earring,Earring
UI_TOOLTIP_INV_BULLET,"Sub Weapon (Arrows, Posters)","Munition (Pfeile, Poster)"
UI_TOOLTIP_INV_CLOTHES_1,Fashion hat,Modischer Hut
UI_TOOLTIP_INV_CLOTHES_2,Fashion costume,Modisches Kostüm
UI_TOOLTIP_INV_CLOTHES_3,Fashion gloves,Modische Handschuhe
UI_TOOLTIP_INV_CLOTHES_4,Fashion shoes,Modische Schuhe
UI_TOOLTIP_MON_LVL,Lv.,Lv.
UI_TOOLTIP_MON_DROP,Booty:,Beute:
UI_TOOLTIP_MON_NO_DROP,None,kein
UI_MAP_MONINFO,Show monsters informations.,Zeige Monsterinformationen.
UI_TOOLTIP_DELETE_ITEM,The item dragged here is removed.,"Gegenstände die hier abgelegt werden, werden entfernt."
UI_INVENTORY_DELETE,Drop confirmation,Wegwerfen bestätigen
UI_INVENTORY_DELETE_CONFIRM,Really delete this item?,Item entfernen?
UI_INVENTORY_DELETE_CNT,Qty,Anzahl
UI_DIALOG,Dialog,Dialog
UI_DIALOG_TITLE,Conversation,Unterhaltung
UI_DIALOG_ABOUT,Ask about %s,%s
UI_OPTION_TAB_GAME,Game,Spiel
UI_OPTION_TAB_CONTROLS,Controls,Steuerung
UI_OPTION_TAB_VIDEO,Graphics,Grafik
UI_OPTION_TAB_GRAPHICS,Video,Video
UI_OPTION_TAB_AUDIO,Audio,Audio
UI_OPTION_PM,Whispers and Messages,Flüstern und Nachrichten
UI_OPTION_PARTY,Party and guild invites,Party- und Gildeneinladungen
UI_OPTION_FRIEND,Friend Invites,Freundschaftsanfragen
UI_OPTION_SIEGE_CAPTION,Guild Siege Captions,Gildenkrieg Untertitel
UI_OPTION_DISABLE_PANG,Disable Tutorial Pang,Tutorial Pang deaktivieren
UI_OPTION_COUPLE,Couple Proposals,Couple Proposals
UI_INSTANTMSG_TITLE,Message,Nachricht
UI_MESSAGE_SEND,Send,Senden
UI_SHOP_TITLE,Shop,Shop
UI_SHOP_ITEMSLIST,Item List,Gegenstandsliste
UI_TOOLTIP_PRICE,Price: %s,Preis: %s
UI_TOOLTIP_SELLPRICE,Selling Price: %s,Verkaufspreis: %s
UI_SHOP_FILTER,Search,Search
UI_SHOP_LEVEL,By Level,Level
UI_SHOP_GENDER,By Gender,Geschlecht
UI_SHOP_ITEMPRICE,Item Price,Item Preis
UI_SELLITEM_TITLE,Selling Confirm,Verkauf bestätigen
UI_SELLITEM_CONFIRM,Really sell this item?,Willst du das Item verkaufen?
UI_SELLITEM_QTY,Quantity,Menge
UI_SELLITEM_PRICE,Selling Price:,Verkaufspreis:
UI_MSGBOX_VALID,Ok,Ok
UI_BUYITEM_TITLE,Confirm Item Purchase,Itemkauf bestätigen
UI_BUYITEM_CONFIRM,Do you want to buy?,Willst du die Items kaufen?
UI_BUYITEM_PRICE,Cost,Preis
UI_OPTION_GRASS,Grass,Gras
UI_TOOLTIP_MAX_HP,Max. HP,Max. HP
UI_TOOLTIP_MAX_MP,Max. MP,Max. MP
UI_TOOLTIP_MAX_FP,Max. FP,Max. FP
UI_TOOLTIP_SPEED,Speed,Geschwindigkeit
UI_TOOLTIP_ATKSPEED,Attack Speed,Angriffstempo 
UI_TOOLTIP_BLOCKMELEE,Melee Block,Nahkampfabwehr 
UI_TOOLTIP_HITRATE,Hit Rate,Treffgenauigkeit
UI_TOOLTIP_ABILITYMIN,Min. Ability,Min. Fähigkeit
UI_TOOLTIP_ABILITYMAX,Max. Ability,Max. Fähigkeit
UI_TOOLTIP_DEFENSE,Defense,Verteidigung
UI_TOOLTIP_DEFMAGIC,Magic Defense,Magieverteidigung
UI_TOOLTIP_DEFELECTRICITY,Electricity Resistance,Blitzwiderstand
UI_TOOLTIP_DEFALLELEMENTAL,All Elements Resistance,Widerstand gegen alle Elemente
UI_TOOLTIP_DEFFIRE,Fire Resistance,Feuerwiderstand
UI_TOOLTIP_DEFWIND,Wind Resistance,Windwiderstand
UI_TOOLTIP_DEFWATER,Water Resistance,Wasserwiderstand
UI_TOOLTIP_DEFEARTH,Earth Resistance,Erdwiderstand
UI_CHARINFO_ELEMENTDEF,Resistance,Widerstand
UI_CHARINFO_ELEMENTMASTRY,Mastery,Meisterung
UI_TOOLTIP_HP,HP,HP
UI_TOOLTIP_MP,MP,MP
UI_TOOLTIP_FP,FP,FP
UI_TOOLTIP_HPRECOVERY,HP Recovery,HP Regeneration
UI_TOOLTIP_MPRECOVERY,MP Recovery,MP Regeneration
UI_TOOLTIP_FPRECOVERY,FP Recovery,FP Regeneration
UI_TOOLTIP_ALL_RECOVERY,"HP, MP & FP Recovery","HP, MP & FP Erholung"
UI_TOOLTIP_ALL_RECOVERY_RATE,"HP, MP & FP Recovery Rate","HP, MP & FP Erholungsrate"
UI_TOOLTIP_KILL_HP,HP Recovery on kill,HP Reg. bei Ableben des Ziels 
UI_TOOLTIP_KILL_MP,MP Recovery on kill,MP Reg. bei Ableben des Ziels 
UI_TOOLTIP_KILL_FP,FP Recovery on kill,FP Reg. bei Ableben des Ziels 
UI_TOOLTIP_KILL_ALL,"HP, MP & FP Recovery on kill","HP, MP, FP Reg. bei Ableben des Ziels "
UI_TOOLTIP_KILL_HP_RATE,HP Recovery Rate on kill,HP Reg. bei Ableben des Ziels 
UI_TOOLTIP_KILL_MP_RATE,MP Recovery Rate on kill,MP Reg. bei Ableben des Ziels 
UI_TOOLTIP_KILL_FP_RATE,FP Recovery Rate on kill,FP Reg. bei Ableben des Ziels 
UI_TOOLTIP_KILL_ALL_RATE,"HP, MP & FP Recovery Rate on kill","HP, MP & FP Reg. bei Ableben des Ziels "
UI_TOOLTIP_ALL_DEC_RATE,Decreased Rate of MP & FP Consumption,Senkt den Verbrauch von MP und FP
UI_TOOLTIP_CHRDMG,Additional Damage,Zusätzl. Schaden
UI_TOOLTIP_PARRY,Parry,Ausweichen
UI_TOOLTIP_ATKPOWER,Increased Attack,Angriffskraft
UI_TOOLTIP_JUMPING,Jump Height,Sprunghöhe
UI_TOOLTIP_BLOCKRANGE,Ranged Block,Fernkampfabwehr
UI_TOOLTIP_ALLSTAT,All Stats,Alle Statuswerte
UI_TOOLTIP_DST_HP_MAX_RATE,Increased HP,Zusätzl. HP Rate
UI_TOOLTIP_CONDITIONRATE,Magical Power,Magische Kraft
UI_TOOLTIP_DST_ADJDEF_RATE,Increased Defense,Erhöhte Verteidigung
UI_TOOLTIP_DST_MP_MAX_RATE,Increased MP,Zusätzl. MP Rate
UI_TOOLTIP_DST_FP_RATE,Increased FP,Zusätzl. FP Rate
UI_TOOLTIP_DST_CRITICAL_RATE,Critical Chance,Kritische Trefferrate
UI_TOOLTIP_DST_CHR_WEAKATKCHANGE,Attribute Attack,Attribut Angriffsrate
UI_TOOLTIP_DST_MASTRY_EARTH,Mastery: Earth,Erde meistern
UI_TOOLTIP_DST_MASTRY_FIRE,Mastery: Fire,Feuer meistern
UI_TOOLTIP_DST_MASTRY_WATER,Mastery: Water,Wasser meistern
UI_TOOLTIP_DST_MASTRY_ELECTRICITY,Mastery: Electricity,Blitz meistern
UI_TOOLTIP_DST_MASTRY_WIND,Mastery: Wind,Wind meistern
UI_TOOLTIP_DST_MASTRY_ALL,All Elements Mastery,Meisterung aller Elemente
UI_TOOLTIP_DST_REFLECT_DAMAGE,Reflect Damage,Schadensreflektion
UI_TOOLTIP_DST_MP_DEC_RATE,MP Consumption Decrease,Verringert die Rate des MP-Verbrauchs
UI_TOOLTIP_DST_FP_DEC_RATE,FP Consumption Decrease,Verringert die Rate des FP-Verbrauchs
UI_TOOLTIP_DST_SPELL_RATE,Casting Speed,Magiebeschleunigung
UI_TOOLTIP_DST_ACTION_SPEED,Action Speed,Action Speed
UI_TOOLTIP_DST_PROJ_SPEED,Projectile Speed,Projectile Speed
UI_TOOLTIP_DST_DISABLE_EFF,Disable Effect,Disable Effect
UI_TOOLTIP_DST_WEAKEN_EFF,Weaken Effect,Weaken Effect
UI_TOOLTIP_DST_CRITICAL_BONUS,Critical Damage,Kritischer Schaden
UI_TOOLTIP_DST_YOY_DMG,Attack Power (Yo-Yo),Yoyo-Angriffskraft
UI_TOOLTIP_DST_BOW_DMG,Attack Power (Bow),Bogen-Angriffskraft
UI_TOOLTIP_DST_KNUCKLE_DMG,Attack Power (Knuckle),Knuckle-Angriffskraft
UI_TOOLTIP_DST_SWD_DMG,Attack Power (Sword),Schwert-Angriffskraft
UI_TOOLTIP_DST_AXE_DMG,Attack Power (Axe),Axt-Angriffskraft
UI_TOOLTIP_ATTACKSPEED_RATE,Attack Speed Rate,Angriffsgeschwindigkeit
UI_TOOLTIP_DST_DMG_GET,Lifesteal,Lebensentzug
UI_TOOLTIP_DST_HPDMG_UP,Attack power and HP,Angriffsstärke und HP sind gestiegen
UI_TOOLTIP_DST_DEFHIRATE_DOWN,Defense power and accuracy decrease,Verteidigung und Treffsicherheit sind gesunken um  
UI_TOOLTIP_DST_DEATHRUSH,Death's Rush Chance,Death's Rush Chance
UI_TOOLTIP_DST_ANKOUHARVEST,Ankou's Harvest,Ankou's Harvest
UI_TOOLTIP_DST_MURANWRATH,Muran's Wrath,Muran's Wrath
UI_TOOLTIP_LOCOMOTION,Movement,Bewegung
UI_TOOLTIP_RETURN_USE,Return to your former position.,Kehre zu deiner ursprünglichen Position zurück.
UI_DISPLAY_BUFFS,Show/hide buffs,Buffs anzeigen/ausblenden
UI_SELECTJOB_TITLE,Select new job,Wähle deine neue Klasse
UI_NOTICE_DISCORD,Join our Discord server,Trete unserem Discordserver bei
UI_TOOLTIP_COMBO,Use skills in the Action Slot,Benutze Fähigkeiten im Action Slot
UI_OPTION_ANTIALIAS,Antialiasing,Antialiasing
UI_OPTION_LIGHTS,Lights,Lichter
UI_TOOLTIP_HOTKEY,[Hotkey %s],[Taste %s]
UI_STATUS_HP,HP,HP
UI_STATUS_FP,FP,FP
UI_STATUS_MP,MP,MP
UI_STATUS_EXP,Exp,Exp
UI_HELPTIPS_TITLE,Todays Tips,Tipp des Tages
UI_HELPTIPS_DOYOUKNOW,Do you know?,Wusstest du schon?
UI_HELPFAQ_QUESTION,Q.,Q.
UI_HIDE,Hide,Ausblenden
UI_PARTY_INFO,Members,Mitglieder
UI_PARTY_SKILL,Skills,Skillpunkte
UI_PARTY_SETTINGS,Settings,Einstellungen
UI_PARTY_NAME,Name:,Name
UI_PARTY_LEVEL,Level:,Lv.
UI_PARTY_POINT,Points:,Punkte:
UI_PARTY_EXPSHARE,Exp Share,EXP Aufteilung
UI_PARTY_EXPMODE_LEVEL,Level,Level
UI_PARTY_EXPMODE_LEVEL_TIP,Exp is distributed to the Party members according to their levels.,Erfahrungspunkte werden nach Level vergeben.
UI_PARTY_EXPMODE_CONTRIB,Contribution,Schaden
UI_PARTY_EXPMODE_CONTRIB_TIP,"Exp is distributed to the Party members according to their contribution to the combat. Contribution includes attacking, healing and tanking.","Erfahrungspunkte werden anhand der Leistung der einzelnen Gruppenmitglieder aufgeteilt. Die Leistung hängt vom ausgeteilten und erhaltenen Schaden, sowie die Heilung ab."
UI_PARTY_LOOT,Distribute Item,Item Aufteilung
UI_PARTY_LOOTMODE_IND,Individually,Individuell
UI_PARTY_LOOTMODE_IND_TIP,This is a Free-For-All Loot type. Players are able to keep whatever they can pick up.,"Bei dieser Beutekategorie können Items von allen Spielern aufgesammelt werden. Was aufgehoben wird, darf behalten werden."
UI_PARTY_LOOTMODE_SEQ,Sequentially,Reihenfolge
UI_PARTY_LOOTMODE_SEQ_TIP,Items are distributed to the characters in order.,Items werden der Reihe nach verteilt
UI_PARTY_LOOTMODE_MAN,Manually,Leader
UI_PARTY_LOOTMODE_MAN_TIP,All items are given to the Party Leader. The Party Leader will them be able to distribute the items as they see fit.,"Alle Items gehen an den Partyleiter. Der Partyleiter kann die Items so verteilen, wie er möchte."
UI_PARTY_LOOTMODE_RAND,Randomly,Zufall
UI_PARTY_LOOTMODE_RAND_TIP,Items are distributed randomly.,Gegenstände werden zufällig verteilt.
UI_PARTY_LOOTMODE_KILL,Killer,Killer
UI_PARTY_LOOTMODE_KILL_TIP,Items are distributed to the player who damaged the most the monster.,Gegenstände werden entsprechend des höchsten Schadens verteilt.
UI_PARTY_SEARCHMODE,Search Mode,Suchmodus
UI_PARTY_TRANSFER,Transfer,Übertragen
UI_PARTY_LEAVE,Leave,Verlassen
UI_PARTY_KICK,Kick,Rauswerfen
UI_PARTY_CHANGE,Change,Ändern
UI_PARTY_CONFIRM,Confirm Party,Party annehmen
UI_PARTY_INVITEQUESTION,%s invites you to join the party. Do you accept?,%s lädt dich zu einer Party ein. Möchtest du beitreten?
UI_PARTY_LEAVE_TIP,"This option will allow members to leave the party or give the Party Leader the ability to remove a member. In order to remove a player, you will first need to select them, and then press the Leave Button.","Diese Option erlaubt es Spielern die Party zu verlassen. Zudem kann der Partyleiter über diese Option andere Partymitglieder entfernen. Um als Partyleiter einen Spieler zu entfernen, wähle den Spieler aus und betätige die Verlassen Taste."
UI_PARTY_TRANSFER_TIP,Transfer the party to another player. Select a new leader and the press the transfer button.,"Party Leitung übergeben. Wähle einen Charakter, der Party Leiter sein soll."
UI_PARTY_CONFIRM_TIP,Change the Party to Advanced Party.,Wechseln zur erweiterten Party
UI_PARTY_LEAVE_CONFIRM,Confirm leaving party.,"Bist du sicher, dass du die Party verlassen möchtest?"
UI_PARTY_LEAVE_QUESTION,Are you going to leave the party?,Willst du die Party verlassen?
UI_PARTY_LEAVE_OTHER,Are you sure you want to remove this player from the party?,"Bist du sicher, dass du den Spieler aus der Party werfen möchtest?"
UI_PARTY_QUICK_TIP,Please click the button to display basic party information.,"Klick auf den Button, um Grundinformationen über die Party anzuzeigen."
UI_PARTY_DETAIL_TIP,Please click the button for detailed party information.,Drücke den Knopf für erweiterte Informationen deiner Party.
UI_PARTY_CHANGETROUP,Do you want change to Advanced party?,Möchtest du die Party in eine erweiterte Party umwandeln?
UI_PARTY_CHANGEPARTY,Change Party,Party wechseln
UI_PARTYNAME_ENTER,Enter Party Name,Party Namen eingeben
UI_PARTYNAME_TITLE,Change Party Name,Party Namen ändern
UI_FRIEND_CONFIRM,Add Friend Confirmation,Freundschaftsanfrage bestätigen
UI_FRIEND_INVITEQUESTION,%s wants to be your friend. Do you accept?,%s möchte mit dir befreundet sein. Nimmst du an?
UI_MESSENGER_ONLINE,Online,Online
UI_MESSENGER_OFFLINE,Offline,Offline
UI_MESSENGER_ABSENT,AFK,AFK
UI_MESSENGER_HARDPLAY,Addict Mode,Beschäftigt
UI_MESSENGER_REST,Resting / Vending,Schlafen / Handeln
UI_MESSENGER_EAT,Eating,Essen
UI_MESSENGER_MOVE,Moving,Unterwegs
UI_MESSENGER_FRIEND,Friend,Freunde
UI_MESSENGER_SORT_CHANNEL,Ch.,Ch.
UI_MESSENGER_SORT_STATE,State,Status
UI_MESSENGER_SORT_LEVEL,Level,Level
UI_MESSENGER_SORT_NAME,Name,Name
UI_MESSENGER_SORT_JOB,Job,Job
UI_INSTANTMSG_JOIN,has logged into the game.,hat sich angemeldet.
UI_OPTION_JOIN_NOTIFICATION,Message alarm,Benachrichtigungsalarm
UI_MESSENGER_MENU_MESSAGE,Message,Nachricht
UI_MESSENGER_MENU_UNBLOCK,Unblock,Zulassen
UI_MESSENGER_MENU_BLOCK,Block,Blocken
UI_MESSENGER_MENU_DELETE,Delete,Löschen
UI_MESSENGER_MENU_MOVE,Move,Teleport
UI_MESSENGER_MENU_TAGSEND,Send a memo,Sende eine Erinnerung
UI_MESSENGER_ADD_FRIEND,Add a new friend,Neuen Freund hinzufügen
UI_ADDFRIEND_TITLE,Add friend,Freund hinzufügen
UI_ADDFRIEND_NAME,Enter Player Name,Spielernamen eingeben
UI_READMEMO_TITLE,Message Window,Info Fenster
UI_SENDMEMO_TITLE,Message Sending Window,Nachricht versenden
UI_POST_TITLE,Post,Post senden
UI_POST_TAB_SEND,Send Mail,Nachricht senden
UI_POST_TAB_RECEIVE,Inbox,Nachricht empfangen
UI_OPTION_UISCALE,Scale,Skaliert
UI_OPTION_TEXTSCALE,Font Size,Font Size
UI_IGNORELIST_TITLE,Ignore List,Blockierliste
UI_IGNORELIST_COUNT,Ignored list: %d,Blockierliste: %d
UI_CHATFILTER_TITLE,Chatting Filter,Chat Filter
UI_CHATFILTER_GENERAL,General,General
UI_CHATFILTER_WHISPER,Whisper,Flüstern
UI_CHATFILTER_SHOUT,Shout,Rufen
UI_CHATFILTER_PARTY,Party,Party
UI_CHATFILTER_GUILD,Guild,Gilde
UI_CHATFILTER_RESET_COLORS,Reset Defaults,Voreinstellungen zurücksetzen
UI_POSTSEND_TO,Receiver,Empfänger
UI_POSTSEND_TITLE,Title,Titel
UI_POSTSEND_GOLD,Penya,Penya
UI_POSTSEND_PRICE,Rental Fee: %d Penya,Gebühr: %d Penya
UI_POSTSEND_SEND,Send,Senden
UI_ITEMSLOT_TITLE,Item confirmation,Item Bestätigung
UI_ITEMSLOT_QUESTION,How many items?,Wie viele Items?
UI_ITEMSLOT_COUNT,Count:,Menge
UI_POSTSEND_CONFIRM,Are you sure you want to send?\nMail expires after %d days,Möchtest du die Nachricht versenden? \n Erhaltene Nachrichten werden nach %d Tagen gelöscht.
UI_POST_NO_MAIL,You don't have any mail,Du hast keine Post
UI_POST_UNKNOWN,Unknown,Unknown
UI_POST_RECEIVE_DATE,Date Received: %s,Erhalten am : %s
UI_POSTREAD_TITLE,Check Post Box,Zum kontrollieren der Email
UI_POSTREAD_FROM,Sender,Absender
UI_POSTREAD_DELETE,Delete,Löschen
UI_POSTREAD_DELETE_ALL,Delete all read mails,Alle gelesenen Mails löschen
UI_POSTREAD_DELETEALL_CONFIRM,Delete selected mails? Items and penya will be deleted as well.,Ausgewählte Mails löschen? Gegenstände und Penya werden ebenfalls gelöscht.
UI_POSTREAD_REPLY,Reply,Antworten
UI_POSTREAD_DELETETITLE,Delete Mail,Post löschen
UI_POSTREAD_DELETECONFIRM,Delete this mail? Items and penya will be deleted as well.,Möchtest du die Nachricht löschen? Angehangene Gegenstände und Penya werden dann ebenfalls gelöscht.
UI_POSTREAD_MAILEXPIRED,Mail Expired,Post abgelaufen
UI_POSTREAD_KEEP_PAY,This mail expired %d days ago. You must pay %s penya to recover it.,"Diese Post ist seit %d Tagen abgelaufen. Um sie wiederherzustellen, musst du %s Penya bezahlen."
UI_QUEST_CANCEL,Remove quest,Quest entfernen
UI_QUEST_CANCEL_TIP,Cancel Quest in Progress,Aktive Quest stornieren
UI_QUEST_ALLQUESTS,All Quests,Alle Quests
UI_QUEST_INPROGRESS,In Progress,In Bearbeitung
