Key,English,Traditional_Chinese
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,驗證失敗，請再試一次。 
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f",位置：x = %f，y = %f，z = %f，角度 = %f
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,您不能發送私訊給自己。
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is not online.,%s 不存在或未上線。
TEXTCLIENT_APP_NOTICE,Notice,公告設定
TEXTCLIENT_APP_STATUS,Status,狀態
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s Lv %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,施展中無法使用
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,在休息狀態下無法使用回城卷
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,必須站立才可使用
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,飛行中時，無法使用
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,此地區無法飛行
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,你未被允許發言。
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,由於發言過多，您收到了 %d 分鐘的禁言處罰。
TEXTCLIENT_APP_MOTION,Motion,動作
TEXTCLIENT_APP_CHARINFO,Character,角色
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,%s 恢復限制為 %d。
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,請稍後…再繼續使用此物品
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,按 Lodestar 復活（最近的城鎮）或使用道具原地復活。
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,按Lodestar在競技場附近復活。
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,打其他玩家正在獵殺的怪物是不禮貌的行為唷
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,戰鬥時無法終止
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,等級提升！請從狀態窗提升能力
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,恭喜！等級提升
TEXTCLIENT_CHARSTATUS_APPLY_Q,Do you want to use the current Stat setup?,使用目前的設定使用GP點數嗎？
TEXTCLIENT_CHARSTATUS_FIRSTJOB,Your stat values will reset after your 1st job change.,完成轉職任務後，能力值將初始化
TEXTCLIENT_BATTLEPASS_REQUIRED,This feature is only available with the Extended Battle Pass or Hero Quest.,此功能僅限擴充戰鬥通行證或英雄任務使用。
TEXTCLIENT_STATPAGE_COOLDOWN,You can swap stat pages in %d seconds.,你可以在 %d 秒後切換屬性頁面。
TEXTCLIENT_ADMIN_STATE,Status,狀態
TEXTCLIENT_ADMIN_NORMAL,Normal,一般
TEXTCLIENT_SPEED_VERYSLOW,Very slow,非常慢
TEXTCLIENT_SPEED_LOW,Slow,慢
TEXTCLIENT_SPEED_NORMAL,Normal,一般
TEXTCLIENT_SPEED_FAST,Fast,快速
TEXTCLIENT_SPEED_VERYFAST,Very fast,很快
TEXTCLIENT_SPEED_FASTEST,Fastest,非常快速
TEXTCLIENT_ITEMPRIORITY,The %s belongs to another player at the moment. Please wait a while.,%s是別人的東西，所以無法馬上撿起
TEXTCLIENT_LACKSPACE,Inventory is full. Please make room and try again.,物品欄的空間不足
TEXTCLIENT_REAPITEM,You received %s.,獲得了%s
TEXTCLIENT_REAPITEM_UPGRADE,You received %s +%d.,你已收到 %s +%d.
TEXTCLIENT_TROUPEREAPITEM,%s has gained %s.,%s撿起了%s    
TEXTCLIENT_APP_INVENTORY,Inventory,物品欄
TEXTCLIENT_REAPMONEY,You received %s Penya (Total: %s Penya).,獲得了%s金幣（總共%s金幣）
TEXTCLIENT_ERROR_SEX,%s is not for your gender.,性別不符！所以無法使用%s
TEXTCLIENT_ERROR_JOB,You cannot equip the %s. Requirements not met.,你不能裝備 %s，需求未被滿足。
TEXTCLIENT_ERROR_LEVEL,You cannot equip this item because your level is too low. (Req Lev: %d),您無法裝備此道具，因為您的等級太低。 （要求等級：%d）
TEXTCLIENT_ERROR_UNDESTRUCTABLE,You can not discard this item.,該物品無法刪除或是丟棄到地上。
TEXTCLIENT_ERROR_USINGITEM,You are already using this item.,You are already using this item.
TEXTCLIENT_SUCCESSREMOVEITEM,Number of %s deleted: %d.,已刪除的 %s 數量：%d。
TEXTCLIENT_NOTARGET,"Cannot attack, no monster targeted.",對方不是怪物或未能鎖定到目標，所以無法使用
TEXTCLIENT_NOTUSE,You cannot use this yet.,目前還無法使用
TEXTCLIENT_ERROR_NOTLEVEL,Your level is too low.,你的等級太低。
TEXTCLIENT_BLOCK_PM,%s is in the 'Refuse to Whisper/Messenger' setting.,%s目前是關閉密語/即時通功能的狀態
TEXTCLIENT_YETTRADE,That player is currently busy. Please try again after few minutes.,那個玩家目前在忙，請在幾分鐘後重試。
TEXTCLIENT_ITEMNOTUSE_TRADING,You cannot use items while trading.,交易時，無法使用物品
TEXTCLIENT_REDCHIP,Red Chip,紅籌碼
TEXTCLIENT_ERROR_EQUIPTRADE,Please unequip the item before selling it.,無法販賣裝備中的物品，請先卸除裝備後販售
TEXTCLIENT_ERROR_NPCBUFFLEVEL,Only level %d~%d character can get buffs.,只有 %d~%d 級的角色才能獲得加成。
TEXTCLIENT_ERROR_NPCBUFFFAIL,You cannot use %s right now.,"該技能使用中,所以無法使用 %s"
TEXTCLIENT_LEVEL15JOB,Now it's time to choose your job.,已經到達可轉職的等級囉
TEXTCLIENT_CHANGEJOB,Congratulations! You have advanced to the %s job class.,恭喜！ 您已晉升成為 %s 了。
TEXTCLIENT_APP_SKILL,Skills,技能
TEXTCLIENT_BASESKILLLEVEL,Character Level: %d,角色等級：%d
TEXTCLIENT_PATTERNUP,You are learning new attack patterns!,連續攻擊提升
TEXTCLIENT_WRONGITEM,You need to equip the correct weapon or item to use that skill.,您沒有裝備適合的物品來使用此技能
TEXTCLIENT_REQFP,Not enough FP.,FP不足，無法使用技能
TEXTCLIENT_REQMP,Not enough MP.,MP不足，無法使用技能
TEXTCLIENT_REQHP,Not enough HP.,Not enough HP.
TEXTCLIENT_BLOCKTARGETING,This action has been blocked by an obstacle..,前方有障礙物，所以無法進行攻擊
TEXTCLIENT_SKILLREQUIRED,%s skill level %d is needed.,需要 %s 技能等級 %d。
TEXTCLIENT_SKILLLEVELUP,%s skill level increased.,%s技能等級提高。
TEXTCLIENT_APP_PRIVATE_SHOP,Private shop,個人商店
TEXTCLIENT_APP_QUEST,Quests,任務
TEXTCLIENT_APP_CASH_SHOP,Flyff Shop,FLYFF 商店
TEXTCLIENT_PREMIUM_ITEMS,Premium Items,收費物品
TEXTCLIENT_COMMUNICATION,Communication,交流
TEXTCLIENT_COMMUNITY,Community,群組
TEXTCLIENT_HELPER,Helper,輔助精靈
TEXTCLIENT_APP_ITEM_DURATION,Duration,維持時間
TEXTCLIENT_APP_MESSENGER,Messenger,即時通
TEXTCLIENT_APP_PARTY,Party,劇團
TEXTCLIENT_APP_GUILD,Guild,公會
TEXTCLIENT_APP_COUPLE,Couple,Couple
TEXTCLIENT_APP_HELP,Help,輔助說明
TEXTCLIENT_APP_HELP_TIPS,Tips,要訣
TEXTCLIENT_APP_FAQ,FAQ,FAQ
TEXTCLIENT_APP_FITTINGROOM,Fitting Room,試衣間
TEXTCLIENT_APP_HELP_WIKI,Wiki Help,Web協助語
TEXTCLIENT_APP_INFO_PANG,Info-Pang,信息龐
TEXTCLIENT_GUILDCOMBAT_CANNOT_PARTY,You cannot make a party in the Guild Siege arena.,你不能在公會大戰競技場中組劇團。
TEXTCLIENT_PPVP_ADD_PARTY,You cannot invite another character to join the party during party PvP.,進行劇團PvP時，無法招募劇團成員
TEXTCLIENT_DUEL_ADD_PARTY,You cannot join the party during duel.,決鬥對戰時不能加入劇團。
TEXTCLIENT_DUEL_ADD_GUILD,You cannot join the guild during duel.,決鬥對戰時不能加入公會。
TEXTCLIENT_BATTLE_NOTPARTY,You cannot invite others to join your party during a battle.,戰鬥中無法邀請加入劇團
TEXTCLIENT_PARTYINVITE_DIFFERENTSERVER,Cannot invite a player from a different channel.,對方在其他伺服器中，所以無法加入。
TEXTCLIENT_PARTYOTHER,%s is currently in another party.,%s是其他劇團的團員
TEXTCLIENT_PARTYEXISTCHR,%s is already in your party.,%s 已經在你的劇團中了。
TEXTCLIENT_DIFFERENTPARTY,Player cannot join the party.,無法加入到劇團中
TEXTCLIENT_PARTYFAILINVITATE,%s has refused to join the party.,%s拒絕加入劇團
TEXTCLIENT_PARTYDENY,%s is currently not accepting Party Invitations,%s目前是拒絕加入劇團狀態
TEXTCLIENT_PARTYNOINVATE,Only the party leader can invite new members.,只有團長才能招募團員
TEXTCLIENT_PARTYFULL,The maximum party limit of 8 players has already been reached.,已達到8名玩家的最大劇團人數限制。
TEXTCLIENT_PARTYFAILENTER,You have failed to join the party.,加入劇團失敗
TEXTCLIENT_GUILDFAILENTER,You have failed to join the guild.,加入公會失敗。
TEXTCLIENT_PARTYCREATE,Party has been created.,成立劇團了
TEXTCLIENT_PARTYJOIN,%s has joined the party.,%s 已加入劇團。
TEXTCLIENT_PARTYREMOVE,%s has left the party.,%s退出了劇團
TEXTCLIENT_PARTYEXIT,You have left the party.,您退出了劇團
TEXTCLIENT_PARTYDESTROY,Party has been disbanded.,劇團解散了
TEXTCLIENT_LODELIGHT,You have chosen the Lodelight as your re-spawn point.,您將死亡後復活的地方，設定在此生命光柱了
TEXTCLIENT_PARTY_ISNOTMASTER,Only the Party Leader is able to transfer the Leader Status to another member of the party.,只有劇團團長才能將團長身份轉移給劇團的另一名團員。
TEXTCLIENT_PARTY_MASTERAWAY,You cannot pass party leadership to an offline player.,無法把團長交給離線狀態的玩家
TEXTCLIENT_PARTY_ALREADYMASTER,You are already the Party Leader.,你已是劇團團長。
TEXTCLIENT_PARTY_LEADERNOCHANGEPK,Unable to change the party leader during a party duel.,劇團對戰時，無法變換團長
TEXTCLIENT_PARTY_TROUPEUP,Party level increased to 10.,劇團等級已經到達10級了
TEXTCLIENT_PARTY_LEVELUP,Party level increased.,劇團等級上升
TEXTCLIENT_PARTY_NAMEINUSE,That party name is already in use. Please choose another one.,已經有其他人使用此劇團名稱，請重新輸入
TEXTCLIENT_PARTY_INVALIDNAME,This party name contains unauthorized characters or words.,此劇團名稱包含未經許可的文字或符號。
TEXTCLIENT_ERROR,Error,錯誤
TEXTCLIENT_PARTY_CHANGE,The party has been changed to an Advanced Party.,從臨時劇團變更為巡迴劇團了
TEXTCLIENT_PARTY_NAMECHANGED,Party name has been changed to %s.,劇團名稱變更為%s了
TEXTCLIENT_PARTYSKILL_LEADER,Only the party leader can use party skills.,只有劇團團長可以使用劇團技能。
TEXTCLIENT_PARTYSKILL_REQLEVEL,Your party does not have the required level.,你的劇團沒有達到要求的等級。
TEXTCLIENT_PARTYSKILL_POINTS,Cannot use skill. Insufficient party experience.,無法使用技能，劇團經驗不足。
TEXTCLIENT_PARTYSKILL_NOTTIME,You are still using the %s party skill. Try again later.,正在使用%s劇團技能，請稍後再使用
TEXTCLIENT_PARTYSKILL_USE,The party skill %s has been used.,使用了%s劇團技能
TEXTCLIENT_PARTYSKILL_STOP,The effect of %s is about to end.,%s劇團技能的持續時間已到，效果即將消失
TEXTCLIENT_ACR_FAME01,Rogue,死跑龍套
TEXTCLIENT_ACR_FAME02,Outlaw,雜耍員
TEXTCLIENT_ACR_FAME03,Vigilante,紅牌小丑
TEXTCLIENT_ACR_FAME04,Pathfinder,幸運獵人
TEXTCLIENT_ACR_FAME05,Pursuer,神射手
TEXTCLIENT_ACR_FAME06,Hejerdor,華麗舞者
TEXTCLIENT_ACR_FAME07,Phoenix,吸魂使者
TEXTCLIENT_ACR_FAME08,Splitter,幻影忍者
TEXTCLIENT_ACR_FAME09,Valcan,闇影刺客
TEXTCLIENT_ACR_FAME10,Lamia,沉默死神
TEXTCLIENT_MER_FAME01,Trainer,正港卒仔
TEXTCLIENT_MER_FAME02,Fighter,地痞流氓
TEXTCLIENT_MER_FAME03,Gladiator,古惑仔
TEXTCLIENT_MER_FAME04,Berserker,格鬥力士
TEXTCLIENT_MER_FAME05,Wardancer,爆炎劍士
TEXTCLIENT_MER_FAME06,Blaster,闇劍客
TEXTCLIENT_MER_FAME07,Eraser,千人斬
TEXTCLIENT_MER_FAME08,Champion,火影禁衛
TEXTCLIENT_MER_FAME09,Warrior,喋血戰狂
TEXTCLIENT_MER_FAME10,Bearcat,弒殺武神
TEXTCLIENT_MAG_FAME01,Apprentice,落跑達人
TEXTCLIENT_MAG_FAME02,Mage,烏龍術士
TEXTCLIENT_MAG_FAME03,War Mage,戰鬥法使
TEXTCLIENT_MAG_FAME04,Grand Mage,超魔導師
TEXTCLIENT_MAG_FAME05,Arch Mage,修羅魔使
TEXTCLIENT_MAG_FAME06,Sorcerer,煉金術士
TEXTCLIENT_MAG_FAME07,Warlock,火焰術者
TEXTCLIENT_MAG_FAME08,Sage,黑獄祭司
TEXTCLIENT_MAG_FAME09,Arch Sage,熾焰魔使
TEXTCLIENT_MAG_FAME10,Elder,滅獄魔神
TEXTCLIENT_ASS_FAME01,Protector,補血機
TEXTCLIENT_ASS_FAME02,Guardian,守護者
TEXTCLIENT_ASS_FAME03,Knight,騎士
TEXTCLIENT_ASS_FAME04,Paladin,武道家
TEXTCLIENT_ASS_FAME05,Crusader,熾天使
TEXTCLIENT_ASS_FAME06,Crusader,熾天使
TEXTCLIENT_ASS_FAME07,Chaplain,吟遊賢者
TEXTCLIENT_ASS_FAME08,Luminary,白袍智者
TEXTCLIENT_ASS_FAME09,Prophet,聖職主教
TEXTCLIENT_ASS_FAME10,Oracle,嗜血教皇
TEXTCLIENT_ALREADYFRIEND,That player is already in your friends list.,此玩家已登入在即時通名單中
TEXTCLIENT_MSGINVATE,You have asked for permission to add %s to your messenger.,您正在詢問%s是否願意加入即時通好友名單中
TEXTCLIENT_GUILDCOMBAT_CANNOT_FRIENDADD,You cannot add friends in the Guild Siege arena.,您無法在公會大戰競技場中添加好友。
TEXTCLIENT_BATTLE_NOTFRIEND,You cannot add someone to your friends list while dueling.,戰鬥中無法加入好友
TEXTCLIENT_MSGDENYINVATE,Invitation has been refused.,對方拒絕將您加入即時通名單中
TEXTCLIENT_MSGDENY,%s is in the 'Refuse Messenger' setting.,%s目前是關閉即時通功能的狀態
TEXTCLIENT_MSGMAXUSER,The maximum number of players that can be registered into the messenger is 200.,即時通可登錄的好友名單為200人
TEXTCLIENT_MSGINVATECOM,%s has added you to their Messenger.,%s將您登錄到即時通名單了
TEXTCLIENT_NOTLOGIN,That player is not connected.,目前不在線上
TEXTCLIENT_MSGBLOCKCHR,"Failure to send message, %s is blocked.",%s已經離線，所以無法對他發送即時訊息，請利用即時通中的留言功能
TEXTCLIENT_MESSNEWNOTE,You have %d new message(s).,收到%d個新留言
TEXTCLIENT_MESSFULLNOTE,Your message cannot be sent. The receiving inbox may be full.,對方的留言箱已滿，無法再接收留言
TEXTCLIENT_MESSNOTE,You sent the memo.,傳送了留言
TEXTCLIENT_MAILRECEIVE,You have received new mail!,收到新信件
TEXTCLIENT_CANT_SHOUT_BELOW_20,Characters under Level %d cannot shout.,等級未達 %d 的使用者無法使用大聲公功能。
TEXTCLIENT_NOPARTY,Party does not exist.,此劇團不存在
TEXTCLIENT_NOGUILD,Guild does not exist.,此公會不存在
TEXTCLIENT_WHISPERAGREE,Private messages allowed,永許私密
TEXTCLIENT_WHISPERREFUSE,Private messages refused,拒絕私密
TEXTCLIENT_MSGERAGREE,Messenger allowed,允許通訊息
TEXTCLIENT_MSGERREFUSE,Messenger refused,拒絕通訊息
TEXTCLIENT_STAGEAGREE,Party & guild invites allowed,同意劇團和公會邀請
TEXTCLIENT_STAGEREFUSE,Party & guild invites refused,拒絕劇團和公會邀請
TEXTCLIENT_CONNAGREE,Post connection status,開啟上線通知功能
TEXTCLIENT_CONNREFUSE,Do not post connection status.,關閉上線通知功能
TEXTCLIENT_FULL_BLOCKED_USER_LIST,Ignore List is full. Please unignore some characters or relog to reset your Ignore List.,可封鎖的玩家數超過了，請整理封鎖目錄後再使用。
TEXTCLIENT_MY_CHARACTER_CANT_BLOCK,You shouldn't ignore yourself. You might have something important to say!,無法封鎖自己的角色，請確認ID。
TEXTCLIENT_ALREADY_BLOCKED,That character is already on your Ignore List.,已經是封鎖聊天的對象。
TEXTCLIENT_USER_CHATTING_BLOCKING,%s has been ignored. Type /Unignore <NAME> to remove them from your Ignore List.,封鎖了%s的聊天。打 /Unignore <NAME> 將它們從您的封鎖列表中刪除。
TEXTCLIENT_USER_CHATTING_UNBLOCKING,%s is now unignored.,解除了封鎖%s的聊天。
TEXTCLIENT_THERE_IS_NO_BLOCKED_TARGET,That character is not on your Ignore List.,是封鎖聊天目錄中沒有的對象。
TEXTCLIENT_EQUIPPUT,Please unequip the item first.,請先卸除裝備上的物品。
TEXTCLIENT_CHARGED_NOTUSE,You can not use the premium items.,無法使用收費物品
TEXTCLIENT_MSGSELFSENDERERROR,"You cannot send a message to yourself, silly.",無法對自己發送訊息
TEXTCLIENT_MAILBOX_FULL,%s's mail box is full.,%s的信箱已滿
TEXTCLIENT_LACKMONEY,You do not have enough Penya.,金幣不足
TEXTCLIENT_CANNOTPOST,You cannot send this item.,無法發送的物品
TEXTCLIENT_MAIL_UNKNOWN,Unknown user,無法判別的使用者
TEXTCLIENT_POST_ERROR,You have failed to send.,傳送信件失敗
TEXTCLIENT_MAIL_SEND_OK,Your mail has been sent successfully.,信件已送出
TEXTCLIENT_ERROR_RETRY,"An error occured, please retry the operation.",發生錯誤，請重試操作。
TEXTCLIENT_REALTIME,Real Time - %s,即時 - %s
TEXTCLIENT_MADRIGALTIME,Madrigal Time - %s,瑪得利賈時間 - %s
TEXTCLIENT_NEW_QUEST,New Quest,新任務
TEXTCLIENT_CURRENT_QUEST,Quests in Progress,進行中的任務
TEXTCLIENT_STARTQUEST,You've received the quest: %s. Open your Quest Window for details.,%s任務已經開始進行了，請確認任務的目的之後進行
TEXTCLIENT_REMOVEQUEST,%s quest has been cancelled.,%s任務已經被取消了
TEXTCLIENT_QUEST_FAILURE,Quest cancelled.,無法完成任務，任務被取消
TEXTCLIENT_NOTPLAYSERVER,This channel is not available. Please enter another.,此伺服器無法進入，請進入其他伺服器。
TEXTCLIENT_PK_NO_FLIGHTAREA,Flying is forbidden inside.,無法騎著飛行器進入
TEXTCLIENT_ITEMBOX_MESSAGE1,You need %s item to open it.,想要開啟，必須要有%s
TEXTCLIENT_ITEMBOX_MESSAGE2,"Wrong level, unable to open itembox.",您沒有適當的鑰匙可以開啟
TEXTCLIENT_ITEMBOX_MESSAGE3,"Wrong sex, unable to open itembox.",您的性別無法開啟物品箱
TEXTCLIENT_ITEMBOX_MESSAGE4,You need to be on the %s quest to open it.,想要開啟，必須進行%s任務
TEXTCLIENT_ITEMBOX_MESSAGE5,"Wrong job, unable to open itembox.",您的職業無法開啟
TEXTCLIENT_QUEST_NOINVENTORYSPACE,Unable to complete quest. Not enough room in your inventory.,物品欄位的空間不足，所以無法完成任務
TEXTCLIENT_REAPEXP,You have gained Experience.,經驗值上升
TEXTCLIENT_ENDQUEST,Congratulations! %s has been completed.,恭喜！ %s 已完成。
TEXTCLIENT_PARTYQUEST_NOTJOIN,"If a member of party is over level %d, he cannot enter.",如果劇團團員超過 %d 級，他不能進入。
TEXTCLIENT_ERROR_DONTCHECK,You cannot check that anymore.,無法在確認
TEXTCLIENT_COMACCEPT,You have joined the %s guild.,您加入了%s公會
TEXTCLIENT_COMLEAVE,You are no longer a member of the %s guild.,您離開公會了。您已經不是%s公會的成員了
TEXTCLIENT_GUILDWARERRORLOGO,You cannot change your guild logo during a guild duel.,公會決鬥對戰期間不能更改公會圖誌。
TEXTCLIENT_GUILDWARERRORNAME,You cannot change your guild name during a guild duel.,公會決鬥對戰期間不能更改公會名稱。
TEXTCLIENT_GUILDNOTICEUPDATE,A new Guild Notice has been posted. Please check it in the guild window.,公會的公告事項已更新，請從公會視窗確認內容
TEXTCLIENT_GUILD_NAMEINUSE,That guild name is already in use. Please choose another one.,那個公會的名字已經被使用了，請選擇另一個名字。
TEXTCLIENT_GUILD_INVALIDNAME,This guild name contains unauthorized characters or words.,此公會名稱包含未經許可授權的文字或符號。
TEXTCLIENT_GUILDCHANGENAME,%s guild has changed their name to %s.,%s公會的名稱已經修改為%s公會了
TEXTCLIENT_GUILDWARNODISMISS,You cannot disband your guild during a guild duel.,公會決鬥對戰期間不能解散公會。
TEXTCLIENT_GUILDSALARYCHANGED,Salary for each title has been changed.,支付給該稱號的薪水已變更完成
TEXTCLIENT_GUILDPOWERCHANGED,Authority for each title has been changed.,各稱號的權限已變更
TEXTCLIENT_GUILDWARNOMEMBER,Unable to use the member management function during a guild duel.,公會決鬥對戰時無法使用會員管理功能。
TEXTCLIENT_GUILDMEMBER_PROMOTED,%s has been promoted.,將%s的稱號提升了
TEXTCLIENT_GUILDMEMBER_DEMOTED,%s has been demoted.,將%s的稱號貶低了
TEXTCLIENT_GUILD_TRANSFERLEADER,%s has become the guild master.,%s成為公會會長了
TEXTCLIENT_GUILD_MEMBERLEAVE,%s has left the guild.,%s離開公會了
TEXTCLIENT_COMACCEPTHAVECOM,%s is already in a guild.,%s已經是公會的成員
TEXTCLIENT_BATTLE_NOTGUILD,You cannot invite others to join your guild during a battle.,戰鬥中無法邀請其他人加入公會
TEXTCLIENT_COMACCEPTKINGPIN,You invited %s to your guild.,邀請%s加入公會了
TEXTCLIENT_GUILDCHROFFLINE,The character you invited is offline.,邀請的角色目前不在線上
TEXTCLIENT_GUILDNOTINCLUDE,You have to wait 2 days before joining another guild.,退出公會不到2天，因此無法加入公會。
TEXTCLIENT_GUILDFAILINVITATE,%s has refused to join the guild.,%s 拒絕加入公會。
TEXTCLIENT_COMNOEXCOM,That guild does not exist.,此公會不存在
TEXTCLIENT_GUILDWARNOINVATE,Cannot join a guild during a guild duel.,進行公會戰時，無法加入公會
TEXTCLIENT_COMHAVECOM,You are already in a guild.,您已經有所屬公會，所以無法加入
TEXTCLIENT_COMOVERMEMBER,The guild is full.,公會已超過上限人數
TEXTCLIENT_COMACCEPTWELCOME,%s has joined the guild.,%s成為公會的新進成員囉
TEXTCLIENT_GUILDNOTHINGNAME,Unable to make a contribution. Ask your Guild Leader to set the guild name first.,沒有公會名稱就無法對公會貢獻。請公會首領指定公會名稱
TEXTCLIENT_GUILDMERITMAXLEVEL,Unable to make a contribution. The guild has reached its maximum level.,目前公會等級最高為20級，無法再進行貢獻
TEXTCLIENT_GUILDLEVELUP,Guild level has increased.,公會等級上升
TEXTCLIENT_GUILDCLOAK,%s Guild Cloak,%s Guild Cloak
TEXTCLIENT_NOTTRADE,You cannot trade a premium item.,收費物品無法放入個人商店或與NPC進行交易
TEXTCLIENT_GUILDBANKFULL,The guild warehouse is full.,公會倉庫已滿
TEXTCLIENT_COUPLEBANKFULL,The couple storage is full.,The couple storage is full.
TEXTCLIENT_SLOTFULL,Your inventory is full.,已經太滿放不下了
TEXTCLIENT_CONFIRMMOVEITEM,Really move this item?,真的移動這個物品嗎？
TEXTCLIENT_GUILDCREATECLOAK,Guild cloak has been created.,製作了公會斗篷
TEXTCLIENT_GUILDNEEDGOLD,Unable to create guild cloak. Insufficient Penya in the guild warehouse.,公會倉庫的金幣不足，所以無法製作斗篷
TEXTCLIENT_GUILD_PAYTAKE,Guild salary of %d Penya received.,%d 獲得公會工資的金幣。
TEXTCLIENT_ERROR_UNKNOWN_TARGET,Unknown setting target,未知設置目標
TEXTCLIENT_ERROR_UNKNOWN_JOB,Unknown job,未知職業
