Key,English,Traditional_Chinese
UI_REVIVAL_LODELIGHT_TIP,Revive to Lodelight,在生命光塔復活
UI_CHARINFO_BASE,Base,基本
UI_CHARINFO_NAME,Name,名稱
UI_CHARINFO_LOGIN,Login,登入
UI_CHARINFO_JOB,Job,職業
UI_CHARINFO_LEVEL,Level,等級
UI_CHARINFO_SERVER,Server,伺服器
UI_CHARINFO_CHANNEL,Channel,分流
UI_CHARINFO_DETAIL,Detail,詳細
UI_CHARINFO_STR,STR,力量
UI_CHARINFO_STA,STA,體力
UI_CHARINFO_DEX,DEX,敏捷
UI_CHARINFO_INT,INT,智力
UI_CHARINFO_STATPOINTS,Stat Points,剩下的能力點
UI_CHARINFO_APPLY,Apply,套用
UI_CHARINFO_RESET,Reset,重新分配
UI_CHARINFO_CHANGESTATE,Change State,更改狀態
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,目前數值頁：%d
UI_CHARINFO_CHANGEPAGE_TITLE,Changing Stat Page,更改數值頁
UI_CHARINFO_APPLY_TOOLTIP,Apply new Stats.,適用變更的狀態。
UI_CHARINFO_RESET_TOOLTIP,Return to Previous Stats.,回復到變更前的狀態。
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Swap stat pages.,交換數值頁
UI_CHARINFO_PLUSMINUS_TOOLTIP,Select Apply after you change your Stat points.,在分配完能力點後選擇更改狀態
UI_CHARINFO_STR_TOOLTIP,Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc),武器攻擊力增加(#cffb40000法杖除外#nc)
UI_CHARINFO_STA_TOOLTIP,"Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased",防禦力、最大HP、最大FP增加\nHP、FP恢復量增加
UI_CHARINFO_DEX_TOOLTIP,"Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc",攻擊速度增加\n迴避率、隔檔率增加\n爆擊機率增加\n#cffb40000弓箭攻擊力增加#nc
UI_CHARINFO_INT_TOOLTIP,Amount of Max. MP is increased.\nMagic Attack Power,最大MP增加\n魔法攻擊力增加
UI_CHARINFO_GP_TOOLTIP,Select Apply after you change your Stat points.,在分配完能力點後選擇更改狀態
UI_CHARINFO_PVP_DUELFAME,Duel Fame,對戰名譽
UI_CHARINFO_PVP_DUELPOINT,Duel Point,對戰點數
UI_CHARINFO_PVP_KILLPOINT,Killing Point,擊殺點數
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,白目等級
UI_CHARINFO_PVP_KARMAPOINT,Karma Point,白目點數
UI_CHARINFO_PVPPK,PVP/PK,PVP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,性別：男
UI_TOOLTIP_SEX_FEMALE,Sex: Female,性別：女
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,縮短時間等級
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,額外加乘生產等級
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,額外加乘運送機會等級
UI_TOOLTIP_ONEHAND,One-handed weapon.,單手武器
UI_TOOLTIP_TWOHAND,Two-handed weapon.,雙手武器
UI_TOOLTIP_ATTACK_BASE,Base Attack:,基礎攻擊力：
UI_TOOLTIP_DEF_BASE,Base Defense:,基礎防禦力：
UI_TOOLTIP_ATTACK,Attack:,攻擊力：
UI_TOOLTIP_DEF_A,Defense:,防禦力：
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s,攻擊速度：%s
UI_TOOLTIP_REQ_JOB,Req Job:,必要職業：
UI_TOOLTIP_REQ_LEVEL,Required Level: %d,必要等級：%d
UI_TOOLTIP_REQ,Requires %s,Requires %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d,MP 治癒量：%d
UI_TOOLTIP_CONSUME_MP,MP: %d,MP：%d
UI_TOOLTIP_CONSUME_FP,FP: %d,FP：%d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d,HP 治癒量：%d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d,FP 治癒量：%d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d,最大恢復量：%d
UI_TOOLTIP_INV_SUIT,Suit,衣服
UI_TOOLTIP_INV_GAUNTLET,Gauntlet,手套
UI_TOOLTIP_INV_BOOTS,Boots,靴子
UI_TOOLTIP_INV_HELMET,Helmet,頭盔
UI_TOOLTIP_INV_CLO,Cloak,斗篷
UI_TOOLTIP_INV_WEAPON,Weapon,武器商店
UI_TOOLTIP_INV_GUARD,Shield,盾牌
UI_TOOLTIP_INV_MASK,Mask,面具
UI_TOOLTIP_INV_RID,Flying Item,飛行器具
UI_TOOLTIP_INV_NECKLACE,Necklace,項鍊
UI_TOOLTIP_INV_RING,Ring,戒指
UI_TOOLTIP_INV_EARRING,Earring,Earring
UI_TOOLTIP_INV_BULLET,"Sub Weapon (Arrows, Posters)",補助武器(箭矢，符咒)
UI_TOOLTIP_INV_CLOTHES_1,Fashion hat,外觀帽子
UI_TOOLTIP_INV_CLOTHES_2,Fashion costume,外觀上衣
UI_TOOLTIP_INV_CLOTHES_3,Fashion gloves,外觀手套
UI_TOOLTIP_INV_CLOTHES_4,Fashion shoes,外觀鞋子
UI_TOOLTIP_MON_LVL,Lv.,Lv.
UI_TOOLTIP_MON_DROP,Booty:,戰利品：
UI_TOOLTIP_MON_NO_DROP,None,無
UI_MAP_MONINFO,Show monsters informations.,顯示怪物情報
UI_TOOLTIP_DELETE_ITEM,The item dragged here is removed.,將物品拖到這裡將會被刪除掉
UI_INVENTORY_DELETE,Drop confirmation,刪除確認
UI_INVENTORY_DELETE_CONFIRM,Really delete this item?,是否要刪除此物品?
UI_INVENTORY_DELETE_CNT,Qty,數量：
UI_DIALOG,Dialog,對話
UI_DIALOG_TITLE,Conversation,對話
UI_DIALOG_ABOUT,Ask about %s,詢問 %s
UI_OPTION_TAB_GAME,Game,遊戲
UI_OPTION_TAB_CONTROLS,Controls,控制
UI_OPTION_TAB_VIDEO,Graphics,圖形選項
UI_OPTION_TAB_GRAPHICS,Video,影像
UI_OPTION_TAB_AUDIO,Audio,音效
UI_OPTION_PM,Whispers and Messages,密語和訊息
UI_OPTION_PARTY,Party and guild invites,劇團和公會邀請
UI_OPTION_FRIEND,Friend Invites,朋友邀請
UI_OPTION_SIEGE_CAPTION,Guild Siege Captions,公會戰字幕
UI_OPTION_DISABLE_PANG,Disable Tutorial Pang,取消教學模式
UI_OPTION_COUPLE,Couple Proposals,Couple Proposals
UI_INSTANTMSG_TITLE,Message,訊息
UI_MESSAGE_SEND,Send,傳送
UI_SHOP_TITLE,Shop,商店
UI_SHOP_ITEMSLIST,Item List,物品目錄
UI_TOOLTIP_PRICE,Price: %s,價格：%s
UI_TOOLTIP_SELLPRICE,Selling Price: %s,販售價格：%s
UI_SHOP_FILTER,Search,搜尋
UI_SHOP_LEVEL,By Level,依等級查詢
UI_SHOP_GENDER,By Gender,依性別查詢
UI_SHOP_ITEMPRICE,Item Price,物品價格
UI_SELLITEM_TITLE,Selling Confirm,販賣確認
UI_SELLITEM_CONFIRM,Really sell this item?,確定要販賣物品嗎?
UI_SELLITEM_QTY,Quantity,販售數量
UI_SELLITEM_PRICE,Selling Price:,販賣價格：
UI_MSGBOX_VALID,Ok,確認
UI_BUYITEM_TITLE,Confirm Item Purchase,購買確認
UI_BUYITEM_CONFIRM,Do you want to buy?,要購買物品嗎?
UI_BUYITEM_PRICE,Cost,販售價格
UI_OPTION_GRASS,Grass,草
UI_TOOLTIP_MAX_HP,Max. HP,最大HP
UI_TOOLTIP_MAX_MP,Max. MP,最大MP
UI_TOOLTIP_MAX_FP,Max. FP,最大FP
UI_TOOLTIP_SPEED,Speed,移動速度
UI_TOOLTIP_ATKSPEED,Attack Speed,攻擊速度
UI_TOOLTIP_BLOCKMELEE,Melee Block,近距離格擋率
UI_TOOLTIP_HITRATE,Hit Rate,命中率
UI_TOOLTIP_ABILITYMIN,Min. Ability,最小能力
UI_TOOLTIP_ABILITYMAX,Max. Ability,最大能力
UI_TOOLTIP_DEFENSE,Defense,防禦力
UI_TOOLTIP_DEFMAGIC,Magic Defense,魔法防禦力
UI_TOOLTIP_DEFELECTRICITY,Electricity Resistance,雷屬性抗性
UI_TOOLTIP_DEFALLELEMENTAL,All Elements Resistance,全屬性抗性
UI_TOOLTIP_DEFFIRE,Fire Resistance,火屬性抗性
UI_TOOLTIP_DEFWIND,Wind Resistance,風屬性抗性
UI_TOOLTIP_DEFWATER,Water Resistance,水屬性抗性
UI_TOOLTIP_DEFEARTH,Earth Resistance,地屬性抗性
UI_CHARINFO_ELEMENTDEF,Resistance,抗性
UI_CHARINFO_ELEMENTMASTRY,Mastery,研習
UI_TOOLTIP_HP,HP,HP
UI_TOOLTIP_MP,MP,MP
UI_TOOLTIP_FP,FP,FP
UI_TOOLTIP_HPRECOVERY,HP Recovery,HP恢復
UI_TOOLTIP_MPRECOVERY,MP Recovery,MP恢復
UI_TOOLTIP_FPRECOVERY,FP Recovery,FP恢復
UI_TOOLTIP_ALL_RECOVERY,"HP, MP & FP Recovery",HP、MP、FP恢復力
UI_TOOLTIP_ALL_RECOVERY_RATE,"HP, MP & FP Recovery Rate",HP、MP、FP恢復率
UI_TOOLTIP_KILL_HP,HP Recovery on kill,攻擊對象死亡時HP恢復
UI_TOOLTIP_KILL_MP,MP Recovery on kill,攻擊對象死亡時MP恢復
UI_TOOLTIP_KILL_FP,FP Recovery on kill,攻擊對象死亡時FP恢復
UI_TOOLTIP_KILL_ALL,"HP, MP & FP Recovery on kill",攻擊對象死亡時HP、MP、FP恢復
UI_TOOLTIP_KILL_HP_RATE,HP Recovery Rate on kill,攻擊對象死亡時HP比例恢復
UI_TOOLTIP_KILL_MP_RATE,MP Recovery Rate on kill,攻擊對象死亡時MP比例恢復
UI_TOOLTIP_KILL_FP_RATE,FP Recovery Rate on kill,攻擊對象死亡時FP比例恢復
UI_TOOLTIP_KILL_ALL_RATE,"HP, MP & FP Recovery Rate on kill",攻擊對象死亡時HP、MP、FP比例恢復
UI_TOOLTIP_ALL_DEC_RATE,Decreased Rate of MP & FP Consumption,MP、FP消耗率減少
UI_TOOLTIP_CHRDMG,Additional Damage,追加傷害值
UI_TOOLTIP_PARRY,Parry,迴避率
UI_TOOLTIP_ATKPOWER,Increased Attack,增加攻擊力
UI_TOOLTIP_JUMPING,Jump Height,跳躍力
UI_TOOLTIP_BLOCKRANGE,Ranged Block,遠距離格擋率
UI_TOOLTIP_ALLSTAT,All Stats,所有能力值
UI_TOOLTIP_DST_HP_MAX_RATE,Increased HP,增加HP
UI_TOOLTIP_CONDITIONRATE,Magical Power,魔法攻擊力
UI_TOOLTIP_DST_ADJDEF_RATE,Increased Defense,增加防禦力
UI_TOOLTIP_DST_MP_MAX_RATE,Increased MP,增加MP
UI_TOOLTIP_DST_FP_RATE,Increased FP,增加FP
UI_TOOLTIP_DST_CRITICAL_RATE,Critical Chance,爆擊率
UI_TOOLTIP_DST_CHR_WEAKATKCHANGE,Attribute Attack,屬性等級
UI_TOOLTIP_DST_MASTRY_EARTH,Mastery: Earth,地
UI_TOOLTIP_DST_MASTRY_FIRE,Mastery: Fire,火
UI_TOOLTIP_DST_MASTRY_WATER,Mastery: Water,水
UI_TOOLTIP_DST_MASTRY_ELECTRICITY,Mastery: Electricity,雷
UI_TOOLTIP_DST_MASTRY_WIND,Mastery: Wind,風
UI_TOOLTIP_DST_MASTRY_ALL,All Elements Mastery,全屬性熟練度
UI_TOOLTIP_DST_REFLECT_DAMAGE,Reflect Damage,反彈傷害
UI_TOOLTIP_DST_MP_DEC_RATE,MP Consumption Decrease,減少MP消耗率
UI_TOOLTIP_DST_FP_DEC_RATE,FP Consumption Decrease,減少FP消耗率
UI_TOOLTIP_DST_SPELL_RATE,Casting Speed,魔法施展時間
UI_TOOLTIP_DST_ACTION_SPEED,Action Speed,Action Speed
UI_TOOLTIP_DST_PROJ_SPEED,Projectile Speed,Projectile Speed
UI_TOOLTIP_DST_DISABLE_EFF,Disable Effect,Disable Effect
UI_TOOLTIP_DST_WEAKEN_EFF,Weaken Effect,Weaken Effect
UI_TOOLTIP_DST_CRITICAL_BONUS,Critical Damage,爆擊時增加傷害
UI_TOOLTIP_DST_YOY_DMG,Attack Power (Yo-Yo),溜刃增加攻擊
UI_TOOLTIP_DST_BOW_DMG,Attack Power (Bow),弓箭增加攻擊
UI_TOOLTIP_DST_KNUCKLE_DMG,Attack Power (Knuckle),拳套增加攻擊
UI_TOOLTIP_DST_SWD_DMG,Attack Power (Sword),劍增加攻擊
UI_TOOLTIP_DST_AXE_DMG,Attack Power (Axe),斧頭增加攻擊
UI_TOOLTIP_ATTACKSPEED_RATE,Attack Speed Rate,攻擊速度
UI_TOOLTIP_DST_DMG_GET,Lifesteal,吸血
UI_TOOLTIP_DST_HPDMG_UP,Attack power and HP,增加攻擊力，HP
UI_TOOLTIP_DST_DEFHIRATE_DOWN,Defense power and accuracy decrease,減少防禦力、命中率
UI_TOOLTIP_DST_DEATHRUSH,Death's Rush Chance,Death's Rush Chance
UI_TOOLTIP_DST_ANKOUHARVEST,Ankou's Harvest,Ankou's Harvest
UI_TOOLTIP_DST_MURANWRATH,Muran's Wrath,Muran's Wrath
UI_TOOLTIP_LOCOMOTION,Movement,移動
UI_TOOLTIP_RETURN_USE,Return to your former position.,歸還到之前的移動場所
UI_DISPLAY_BUFFS,Show/hide buffs,顯示/隱藏 增益
UI_SELECTJOB_TITLE,Select new job,選擇新職業
UI_NOTICE_DISCORD,Join our Discord server,加入我們的Discord伺服器
UI_TOOLTIP_COMBO,Use skills in the Action Slot,使用連技欄的技能
UI_OPTION_ANTIALIAS,Antialiasing,反鋸齒
UI_OPTION_LIGHTS,Lights,光
UI_TOOLTIP_HOTKEY,[Hotkey %s],[熱鍵 %s]
UI_STATUS_HP,HP,HP
UI_STATUS_FP,FP,FP
UI_STATUS_MP,MP,MP
UI_STATUS_EXP,Exp,Exp
UI_HELPTIPS_TITLE,Todays Tips,今日要訣
UI_HELPTIPS_DOYOUKNOW,Do you know?,你知道嗎?
UI_HELPFAQ_QUESTION,Q.,Q.
UI_HIDE,Hide,隱藏
UI_PARTY_INFO,Members,成員
UI_PARTY_SKILL,Skills,技能
UI_PARTY_SETTINGS,Settings,設定
UI_PARTY_NAME,Name:,劇團名稱：
UI_PARTY_LEVEL,Level:,Lv.
UI_PARTY_POINT,Points:,劇團點數：
UI_PARTY_EXPSHARE,Exp Share,經驗值分配
UI_PARTY_EXPMODE_LEVEL,Level,等級
UI_PARTY_EXPMODE_LEVEL_TIP,Exp is distributed to the Party members according to their levels.,依等級之差來分配經驗值，若團員之間的等級差距不大時，可使用此模式。
UI_PARTY_EXPMODE_CONTRIB,Contribution,貢獻分配
UI_PARTY_EXPMODE_CONTRIB_TIP,"Exp is distributed to the Party members according to their contribution to the combat. Contribution includes attacking, healing and tanking.",給對方最多傷害的玩家，獲得的經驗值會越多。若團員都是以攻擊為主的職業，建議使用此模式。
UI_PARTY_LOOT,Distribute Item,物品分配
UI_PARTY_LOOTMODE_IND,Individually,個人分配
UI_PARTY_LOOTMODE_IND_TIP,This is a Free-For-All Loot type. Players are able to keep whatever they can pick up.,撿取物品的玩家會獲得物品的模式
UI_PARTY_LOOTMODE_SEQ,Sequentially,順序分配
UI_PARTY_LOOTMODE_SEQ_TIP,Items are distributed to the characters in order.,物品依順序分配的模式
UI_PARTY_LOOTMODE_MAN,Manually,手動分配
UI_PARTY_LOOTMODE_MAN_TIP,All items are given to the Party Leader. The Party Leader will them be able to distribute the items as they see fit.,在團長周圍所撿取的物品，將由團長獲得。並且在由團長以手動方式分配給團員的模式
UI_PARTY_LOOTMODE_RAND,Randomly,隨機分配
UI_PARTY_LOOTMODE_RAND_TIP,Items are distributed randomly.,隨機將物品分配給團員的模式
UI_PARTY_LOOTMODE_KILL,Killer,殺戮者
UI_PARTY_LOOTMODE_KILL_TIP,Items are distributed to the player who damaged the most the monster.,道具會分發給對怪物造成最大傷害的玩家。
UI_PARTY_SEARCHMODE,Search Mode,搜尋模式
UI_PARTY_TRANSFER,Transfer,團長交接
UI_PARTY_LEAVE,Leave,退出劇團
UI_PARTY_KICK,Kick,踢出團員
UI_PARTY_CHANGE,Change,變更
UI_PARTY_CONFIRM,Confirm Party,劇團確認
UI_PARTY_INVITEQUESTION,%s invites you to join the party. Do you accept?,%s 邀請您加入劇團，請問要加入嗎
UI_PARTY_LEAVE_TIP,"This option will allow members to leave the party or give the Party Leader the ability to remove a member. In order to remove a player, you will first need to select them, and then press the Leave Button.",此選項將允許成員離開隊伍或賦予隊長移除成員的能力。為了移除玩家，首先需要選擇他們，然後按下退出。
UI_PARTY_TRANSFER_TIP,Transfer the party to another player. Select a new leader and the press the transfer button.,交接團長職位（請選擇要交接職位的角色後，按下團長交接的按鈕）
UI_PARTY_CONFIRM_TIP,Change the Party to Advanced Party.,轉換成巡迴劇團
UI_PARTY_LEAVE_CONFIRM,Confirm leaving party.,確認退出劇團
UI_PARTY_LEAVE_QUESTION,Are you going to leave the party?,要退出劇團嗎?
UI_PARTY_LEAVE_OTHER,Are you sure you want to remove this player from the party?,你確定要從劇團中踢出這名團員嗎?
UI_PARTY_QUICK_TIP,Please click the button to display basic party information.,點擊顯示劇團基本資訊
UI_PARTY_DETAIL_TIP,Please click the button for detailed party information.,點擊顯示劇團詳細資訊
UI_PARTY_CHANGETROUP,Do you want change to Advanced party?,你想要轉換成巡迴劇團嗎?
UI_PARTY_CHANGEPARTY,Change Party,劇團變換
UI_PARTYNAME_ENTER,Enter Party Name,請輸入要變更的巡迴劇團名稱
UI_PARTYNAME_TITLE,Change Party Name,變更劇團名稱
UI_FRIEND_CONFIRM,Add Friend Confirmation,好友申請確認
UI_FRIEND_INVITEQUESTION,%s wants to be your friend. Do you accept?,%s對您提出新增好友的請求，您同意請求嗎?
UI_MESSENGER_ONLINE,Online,上線
UI_MESSENGER_OFFLINE,Offline,離線
UI_MESSENGER_ABSENT,AFK,離開
UI_MESSENGER_HARDPLAY,Addict Mode,練功中
UI_MESSENGER_REST,Resting / Vending,掛網中
UI_MESSENGER_EAT,Eating,吃飯中
UI_MESSENGER_MOVE,Moving,旅行中
UI_MESSENGER_FRIEND,Friend,好友
UI_MESSENGER_SORT_CHANNEL,Ch.,分流
UI_MESSENGER_SORT_STATE,State,狀態
UI_MESSENGER_SORT_LEVEL,Level,等級
UI_MESSENGER_SORT_NAME,Name,名稱
UI_MESSENGER_SORT_JOB,Job,職業
UI_INSTANTMSG_JOIN,has logged into the game.,登入了
UI_OPTION_JOIN_NOTIFICATION,Message alarm,訊息通知
UI_MESSENGER_MENU_MESSAGE,Message,訊息
UI_MESSENGER_MENU_UNBLOCK,Unblock,解除封鎖
UI_MESSENGER_MENU_BLOCK,Block,隔檔
UI_MESSENGER_MENU_DELETE,Delete,刪除角色
UI_MESSENGER_MENU_MOVE,Move,移動
UI_MESSENGER_MENU_TAGSEND,Send a memo,寄出備忘錄
UI_MESSENGER_ADD_FRIEND,Add a new friend,加入新好友
UI_ADDFRIEND_TITLE,Add friend,加入好友
UI_ADDFRIEND_NAME,Enter Player Name,輸入玩家名稱
UI_READMEMO_TITLE,Message Window,訊息視窗
UI_SENDMEMO_TITLE,Message Sending Window,訊息發送視窗
UI_POST_TITLE,Post,郵寄
UI_POST_TAB_SEND,Send Mail,發送信件
UI_POST_TAB_RECEIVE,Inbox,收件箱
UI_OPTION_UISCALE,Scale,比例
UI_OPTION_TEXTSCALE,Font Size,Font Size
UI_IGNORELIST_TITLE,Ignore List,封鎖清單
UI_IGNORELIST_COUNT,Ignored list: %d,封鎖清單：%d
UI_CHATFILTER_TITLE,Chatting Filter,聊天頻道選項
UI_CHATFILTER_GENERAL,General,一般
UI_CHATFILTER_WHISPER,Whisper,密語
UI_CHATFILTER_SHOUT,Shout,大喊
UI_CHATFILTER_PARTY,Party,劇團
UI_CHATFILTER_GUILD,Guild,公會
UI_CHATFILTER_RESET_COLORS,Reset Defaults,重置預設值
UI_POSTSEND_TO,Receiver,收件人
UI_POSTSEND_TITLE,Title,稱號
UI_POSTSEND_GOLD,Penya,金幣
UI_POSTSEND_PRICE,Rental Fee: %d Penya,使用費用：%d 金幣
UI_POSTSEND_SEND,Send,傳送
UI_ITEMSLOT_TITLE,Item confirmation,物品確認
UI_ITEMSLOT_QUESTION,How many items?,要寄出幾個?
UI_ITEMSLOT_COUNT,Count:,數量：
UI_POSTSEND_CONFIRM,Are you sure you want to send?\nMail expires after %d days,要發送信件嗎?\n收到的信件在%d天後自動刪除
UI_POST_NO_MAIL,You don't have any mail,你沒有任何信件
UI_POST_UNKNOWN,Unknown,未知
UI_POST_RECEIVE_DATE,Date Received: %s,收到的日期： %s
UI_POSTREAD_TITLE,Check Post Box,確認信箱
UI_POSTREAD_FROM,Sender,發信人
UI_POSTREAD_DELETE,Delete,刪除角色
UI_POSTREAD_DELETE_ALL,Delete all read mails,刪除所有已讀郵件
UI_POSTREAD_DELETEALL_CONFIRM,Delete selected mails? Items and penya will be deleted as well.,刪除選定的郵件？ 物品和金幣也將被刪除。
UI_POSTREAD_REPLY,Reply,回信
UI_POSTREAD_DELETETITLE,Delete Mail,刪除信件
UI_POSTREAD_DELETECONFIRM,Delete this mail? Items and penya will be deleted as well.,要刪除信件嗎?刪除的同時，裡面的物品與金幣也會同時被刪除。
UI_POSTREAD_MAILEXPIRED,Mail Expired,信件過期
UI_POSTREAD_KEEP_PAY,This mail expired %d days ago. You must pay %s penya to recover it.,此信件已經在 %d 天前過期，你需要支付 %s 金幣復原信件。
UI_QUEST_CANCEL,Remove quest,放棄任務
UI_QUEST_CANCEL_TIP,Cancel Quest in Progress,取消進行中的任務
UI_QUEST_ALLQUESTS,All Quests,整體目錄
UI_QUEST_INPROGRESS,In Progress,進行中
UI_QUEST_COMPLETED,Completed,完成目錄
UI_QUEST_LIST,Quest List,任務目錄
UI_QUEST_DETAIL,Quest Details,任務內容
UI_QUEST_REWARDS,Reward List,獎勵清單
UI_QUEST_CONDITIONS,Quest Condition,任務條件
UI_QUEST_GOLD1,Penya: %d,金幣 ： %d
UI_QUEST_GOLD2,Penya: %d~%d,金幣 ： %d~%d
UI_QUEST_GOLD3,Penya: ????,金幣 ： ????
UI_QUEST_EXP1,Experience Gained.,提供經驗值
UI_QUEST_EXP2,Experience: %.2f%%,經驗 : %.2f%%
UI_QUEST_EXP_COUPLE,Couple Experience: %.2f%%,Couple Experience: %.2f%%
UI_QUEST_SKILLPOINT,Skill points,擊殺分數
UI_QUEST_INVENTORYSLOT1,Inventory Space,剩餘空間
UI_QUEST_INVENTORYSLOT2,Inventory Space: %d,解鎖物品欄位：%d
UI_QUEST_MODIFY_KARMA1,Collected Karma Point: %d,獲得的白目點數：%d
UI_QUEST_MODIFY_KARMA2,Collected Karma Point: ????,獲得的白目點數： ????
UI_QUEST_ADD_KARMA1,Added Karma Point: %d,追加的白目點數：%d
UI_QUEST_ADD_KARMA2,Added Karma Point: ????,追加的白目點數： ????
UI_QUEST_ITEM1,Item: %s(%d),物品 ： %s(%d)
UI_QUEST_ITEM2,Item: ????,物品 ： ????
UI_QUEST_COND_COMPLETED,Quest completed.,已完成的任務
UI_QUEST_LIMIT_TIME,Time Left: #b%d minutes#nb,剩餘時間 #b%d分#nb
UI_QUEST_LIMIT_TIMEOUT,#bYou exceeded the time limit#nb,#b已超過限制時間#nb
UI_QUEST_KILL_NPC,Defeat %s #cffc32f07#b%d/%d#nb#nc,擊殺 %s #cffc32f07#b%d/%d#nb#nc
UI_QUEST_ITEM,%s #cffc32f07#b%d/%d#nb#nc,%s #cffc32f07#b%d/%d#nb#nc 
UI_QUEST_PATROL,%s Search,%s 搜索
UI_QUEST_COMPLETE_TEXT,[Complete],(完成)
UI_QUEST_NODISGUISE,Transformed into a human,變回人類
UI_QUEST_DISGUISE,Transformed into %s,變身成%s
UI_QUEST_SKILLLVL,%s Skill Level #b(%d/%d)#nb,%s 技能等級 #b(%d/%d)#nb
