Key,English
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality
UI_OPTION_FULLSCREEN,Fullscreen
UI_MOTION_TAB_MOT,Motion
UI_MOTION_TAB_EMO,Emoticon
UI_REVIVAL_TITLE,Resurrection
UI_REVIVAL_LODESTAR,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive to Lodestar
UI_REVIVAL_LODELIGHT,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive to Lodelight
UI_CHARINFO_BASE,Base
UI_CHARINFO_NAME,Name
UI_CHARINFO_LOGIN,Login
UI_CHARINFO_JOB,Job
UI_CHARINFO_LEVEL,Level
UI_CHARINFO_SERVER,Server
UI_CHARINFO_CHANNEL,Channel
UI_CHARINFO_DETAIL,Detail
UI_CHARINFO_STR,STR
UI_CHARINFO_STA,STA
UI_CHARINFO_DEX,DEX
UI_CHARINFO_INT,INT
UI_CHARINFO_STATPOINTS,Stat Points
UI_CHARINFO_APPLY,Apply
UI_CHARINFO_RESET,Reset
UI_CHARINFO_CHANGESTATE,Change State
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Changing Stat Page
UI_CHARINFO_APPLY_TOOLTIP,Apply new Stats.
UI_CHARINFO_RESET_TOOLTIP,Return to Previous Stats.
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Swap stat pages.
UI_CHARINFO_PLUSMINUS_TOOLTIP,Select Apply after you change your Stat points.
UI_CHARINFO_STR_TOOLTIP,Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc)
UI_CHARINFO_STA_TOOLTIP,"Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased"
UI_CHARINFO_DEX_TOOLTIP,"Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc"
UI_CHARINFO_INT_TOOLTIP,Amount of Max. MP is increased.\nMagic Attack Power
UI_CHARINFO_GP_TOOLTIP,Select Apply after you change your Stat points.
UI_CHARINFO_PVP_DUELFAME,Duel Fame
UI_CHARINFO_PVP_DUELPOINT,Duel Point
UI_CHARINFO_PVP_KILLPOINT,Killing Point
UI_CHARINFO_PVP_KARMALEVEL,Karma Level
UI_CHARINFO_PVP_KARMAPOINT,Karma Point
UI_CHARINFO_PVPPK,PVP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male
UI_TOOLTIP_SEX_FEMALE,Sex: Female
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level
UI_TOOLTIP_ONEHAND,One-handed weapon.
UI_TOOLTIP_TWOHAND,Two-handed weapon.
UI_TOOLTIP_ATTACK_BASE,Base Attack:
UI_TOOLTIP_DEF_BASE,Base Defense:
UI_TOOLTIP_ATTACK,Attack:
UI_TOOLTIP_DEF_A,Defense:
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s
UI_TOOLTIP_REQ_JOB,Req Job:
UI_TOOLTIP_REQ_LEVEL,Required Level: %d
UI_TOOLTIP_REQ,Requires %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d
UI_TOOLTIP_CONSUME_MP,MP: %d
UI_TOOLTIP_CONSUME_FP,FP: %d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d
UI_TOOLTIP_INV_SUIT,Suit
UI_TOOLTIP_INV_GAUNTLET,Gauntlet
UI_TOOLTIP_INV_BOOTS,Boots
UI_TOOLTIP_INV_HELMET,Helmet
UI_TOOLTIP_INV_CLO,Cloak
UI_TOOLTIP_INV_WEAPON,Weapon
UI_TOOLTIP_INV_GUARD,Shield
UI_TOOLTIP_INV_MASK,Mask
UI_TOOLTIP_INV_RID,Flying Item
UI_TOOLTIP_INV_NECKLACE,Necklace
UI_TOOLTIP_INV_RING,Ring
UI_TOOLTIP_INV_EARRING,Earring
UI_TOOLTIP_INV_BULLET,"Sub Weapon (Arrows, Posters)"
UI_TOOLTIP_INV_CLOTHES_1,Fashion hat
UI_TOOLTIP_INV_CLOTHES_2,Fashion costume
UI_TOOLTIP_INV_CLOTHES_3,Fashion gloves
UI_TOOLTIP_INV_CLOTHES_4,Fashion shoes
UI_TOOLTIP_MON_LVL,Lv.
UI_TOOLTIP_MON_DROP,Booty:
UI_TOOLTIP_MON_NO_DROP,None
UI_MAP_MONINFO,Show monsters informations.
UI_TOOLTIP_DELETE_ITEM,The item dragged here is removed.
UI_INVENTORY_DELETE,Drop confirmation
UI_INVENTORY_DELETE_CONFIRM,Really delete this item?
UI_INVENTORY_DELETE_CNT,Qty
UI_DIALOG,Dialog
UI_DIALOG_TITLE,Conversation
UI_DIALOG_ABOUT,Ask about %s
UI_OPTION_TAB_GAME,Game
UI_OPTION_TAB_CONTROLS,Controls
UI_OPTION_TAB_VIDEO,Graphics
UI_OPTION_TAB_GRAPHICS,Video
UI_OPTION_TAB_AUDIO,Audio
UI_OPTION_PM,Whispers and Messages
UI_OPTION_PARTY,Party and guild invites
UI_OPTION_FRIEND,Friend Invites
UI_OPTION_SIEGE_CAPTION,Guild Siege Captions
UI_OPTION_DISABLE_PANG,Disable Tutorial Pang
UI_OPTION_COUPLE,Couple Proposals
UI_INSTANTMSG_TITLE,Message
UI_MESSAGE_SEND,Send
UI_SHOP_TITLE,Shop
UI_SHOP_ITEMSLIST,Item List
UI_TOOLTIP_PRICE,Price: %s
UI_TOOLTIP_SELLPRICE,Selling Price: %s
UI_SHOP_FILTER,Search
UI_SHOP_LEVEL,By Level
UI_SHOP_GENDER,By Gender
UI_SHOP_ITEMPRICE,Item Price
UI_SELLITEM_TITLE,Selling Confirm
UI_SELLITEM_CONFIRM,Really sell this item?
UI_SELLITEM_QTY,Quantity
UI_SELLITEM_PRICE,Selling Price:
UI_MSGBOX_VALID,Ok
UI_BUYITEM_TITLE,Confirm Item Purchase
UI_BUYITEM_CONFIRM,Do you want to buy?
UI_BUYITEM_PRICE,Cost
UI_OPTION_GRASS,Grass
UI_TOOLTIP_MAX_HP,Max. HP
UI_TOOLTIP_MAX_MP,Max. MP
UI_TOOLTIP_MAX_FP,Max. FP
UI_TOOLTIP_SPEED,Speed
UI_TOOLTIP_ATKSPEED,Attack Speed
UI_TOOLTIP_BLOCKMELEE,Melee Block
UI_TOOLTIP_HITRATE,Hit Rate
UI_TOOLTIP_ABILITYMIN,Min. Ability
UI_TOOLTIP_ABILITYMAX,Max. Ability
UI_TOOLTIP_DEFENSE,Defense
UI_TOOLTIP_DEFMAGIC,Magic Defense
UI_TOOLTIP_DEFELECTRICITY,Electricity Resistance
UI_TOOLTIP_DEFALLELEMENTAL,All Elements Resistance
UI_TOOLTIP_DEFFIRE,Fire Resistance
UI_TOOLTIP_DEFWIND,Wind Resistance
UI_TOOLTIP_DEFWATER,Water Resistance
UI_TOOLTIP_DEFEARTH,Earth Resistance
UI_CHARINFO_ELEMENTDEF,Resistance
UI_CHARINFO_ELEMENTMASTRY,Mastery
UI_TOOLTIP_HP,HP
UI_TOOLTIP_MP,MP
UI_TOOLTIP_FP,FP
UI_TOOLTIP_HPRECOVERY,HP Recovery
UI_TOOLTIP_MPRECOVERY,MP Recovery
UI_TOOLTIP_FPRECOVERY,FP Recovery
UI_TOOLTIP_ALL_RECOVERY,"HP, MP & FP Recovery"
UI_TOOLTIP_ALL_RECOVERY_RATE,"HP, MP & FP Recovery Rate"
UI_TOOLTIP_KILL_HP,HP Recovery on kill
UI_TOOLTIP_KILL_MP,MP Recovery on kill
UI_TOOLTIP_KILL_FP,FP Recovery on kill
UI_TOOLTIP_KILL_ALL,"HP, MP & FP Recovery on kill"
UI_TOOLTIP_KILL_HP_RATE,HP Recovery Rate on kill
UI_TOOLTIP_KILL_MP_RATE,MP Recovery Rate on kill
UI_TOOLTIP_KILL_FP_RATE,FP Recovery Rate on kill
UI_TOOLTIP_KILL_ALL_RATE,"HP, MP & FP Recovery Rate on kill"
UI_TOOLTIP_ALL_DEC_RATE,Decreased Rate of MP & FP Consumption
UI_TOOLTIP_CHRDMG,Additional Damage
UI_TOOLTIP_PARRY,Parry
UI_TOOLTIP_ATKPOWER,Increased Attack
UI_TOOLTIP_JUMPING,Jump Height
UI_TOOLTIP_BLOCKRANGE,Ranged Block
UI_TOOLTIP_ALLSTAT,All Stats
UI_TOOLTIP_DST_HP_MAX_RATE,Increased HP
UI_TOOLTIP_CONDITIONRATE,Magical Power
UI_TOOLTIP_DST_ADJDEF_RATE,Increased Defense
UI_TOOLTIP_DST_MP_MAX_RATE,Increased MP
UI_TOOLTIP_DST_FP_RATE,Increased FP
UI_TOOLTIP_DST_CRITICAL_RATE,Critical Chance
UI_TOOLTIP_DST_CHR_WEAKATKCHANGE,Attribute Attack
UI_TOOLTIP_DST_MASTRY_EARTH,Mastery: Earth
UI_TOOLTIP_DST_MASTRY_FIRE,Mastery: Fire
UI_TOOLTIP_DST_MASTRY_WATER,Mastery: Water
UI_TOOLTIP_DST_MASTRY_ELECTRICITY,Mastery: Electricity
UI_TOOLTIP_DST_MASTRY_WIND,Mastery: Wind
UI_TOOLTIP_DST_MASTRY_ALL,All Elements Mastery
UI_TOOLTIP_DST_REFLECT_DAMAGE,Reflect Damage
UI_TOOLTIP_DST_MP_DEC_RATE,MP Consumption Decrease
UI_TOOLTIP_DST_FP_DEC_RATE,FP Consumption Decrease
UI_TOOLTIP_DST_SPELL_RATE,Casting Speed
UI_TOOLTIP_DST_ACTION_SPEED,Action Speed
UI_TOOLTIP_DST_PROJ_SPEED,Projectile Speed
UI_TOOLTIP_DST_DISABLE_EFF,Disable Effect
UI_TOOLTIP_DST_WEAKEN_EFF,Weaken Effect
UI_TOOLTIP_DST_CRITICAL_BONUS,Critical Damage
UI_TOOLTIP_DST_YOY_DMG,Attack Power (Yo-Yo)
UI_TOOLTIP_DST_BOW_DMG,Attack Power (Bow)
UI_TOOLTIP_DST_KNUCKLE_DMG,Attack Power (Knuckle)
UI_TOOLTIP_DST_SWD_DMG,Attack Power (Sword)
UI_TOOLTIP_DST_AXE_DMG,Attack Power (Axe)
UI_TOOLTIP_ATTACKSPEED_RATE,Attack Speed Rate
UI_TOOLTIP_DST_DMG_GET,Lifesteal
UI_TOOLTIP_DST_HPDMG_UP,Attack power and HP
UI_TOOLTIP_DST_DEFHIRATE_DOWN,Defense power and accuracy decrease
UI_TOOLTIP_DST_DEATHRUSH,Death's Rush Chance
UI_TOOLTIP_DST_ANKOUHARVEST,Ankou's Harvest
UI_TOOLTIP_DST_MURANWRATH,Muran's Wrath
UI_TOOLTIP_LOCOMOTION,Movement
UI_TOOLTIP_RETURN_USE,Return to your former position.
UI_DISPLAY_BUFFS,Show/hide buffs
UI_SELECTJOB_TITLE,Select new job
UI_NOTICE_DISCORD,Join our Discord server
UI_TOOLTIP_COMBO,Use skills in the Action Slot
UI_OPTION_ANTIALIAS,Antialiasing
UI_OPTION_LIGHTS,Lights
UI_TOOLTIP_HOTKEY,[Hotkey %s]
UI_STATUS_HP,HP
UI_STATUS_FP,FP
UI_STATUS_MP,MP
UI_STATUS_EXP,Exp
UI_HELPTIPS_TITLE,Todays Tips
UI_HELPTIPS_DOYOUKNOW,Do you know?
UI_HELPFAQ_QUESTION,Q.
UI_HIDE,Hide
UI_PARTY_INFO,Members
UI_PARTY_SKILL,Skills
UI_PARTY_SETTINGS,Settings
UI_PARTY_NAME,Name:
UI_PARTY_LEVEL,Level:
UI_PARTY_POINT,Points:
UI_PARTY_EXPSHARE,Exp Share
UI_PARTY_EXPMODE_LEVEL,Level
UI_PARTY_EXPMODE_LEVEL_TIP,Exp is distributed to the Party members according to their levels.
UI_PARTY_EXPMODE_CONTRIB,Contribution
UI_PARTY_EXPMODE_CONTRIB_TIP,"Exp is distributed to the Party members according to their contribution to the combat. Contribution includes attacking, healing and tanking."
UI_PARTY_LOOT,Distribute Item
UI_PARTY_LOOTMODE_IND,Individually
UI_PARTY_LOOTMODE_IND_TIP,This is a Free-For-All Loot type. Players are able to keep whatever they can pick up.
UI_PARTY_LOOTMODE_SEQ,Sequentially
UI_PARTY_LOOTMODE_SEQ_TIP,Items are distributed to the characters in order.
UI_PARTY_LOOTMODE_MAN,Manually
UI_PARTY_LOOTMODE_MAN_TIP,All items are given to the Party Leader. The Party Leader will them be able to distribute the items as they see fit.
UI_PARTY_LOOTMODE_RAND,Randomly
UI_PARTY_LOOTMODE_RAND_TIP,Items are distributed randomly.
UI_PARTY_LOOTMODE_KILL,Killer
UI_PARTY_LOOTMODE_KILL_TIP,Items are distributed to the player who damaged the most the monster.
UI_PARTY_SEARCHMODE,Search Mode
UI_PARTY_TRANSFER,Transfer
UI_PARTY_LEAVE,Leave
UI_PARTY_KICK,Kick
UI_PARTY_CHANGE,Change
UI_PARTY_CONFIRM,Confirm Party
UI_PARTY_INVITEQUESTION,%s invites you to join the party. Do you accept?
UI_PARTY_LEAVE_TIP,"This option will allow members to leave the party or give the Party Leader the ability to remove a member. In order to remove a player, you will first need to select them, and then press the Leave Button."
UI_PARTY_TRANSFER_TIP,Transfer the party to another player. Select a new leader and the press the transfer button.
UI_PARTY_CONFIRM_TIP,Change the Party to Advanced Party.
UI_PARTY_LEAVE_CONFIRM,Confirm leaving party.
UI_PARTY_LEAVE_QUESTION,Are you going to leave the party?
UI_PARTY_LEAVE_OTHER,Are you sure you want to remove this player from the party?
UI_PARTY_QUICK_TIP,Please click the button to display basic party information.
UI_PARTY_DETAIL_TIP,Please click the button for detailed party information.
UI_PARTY_CHANGETROUP,Do you want change to Advanced party?
UI_PARTY_CHANGEPARTY,Change Party
UI_PARTYNAME_ENTER,Enter Party Name
UI_PARTYNAME_TITLE,Change Party Name
UI_FRIEND_CONFIRM,Add Friend Confirmation
UI_FRIEND_INVITEQUESTION,%s wants to be your friend. Do you accept?
UI_MESSENGER_ONLINE,Online
UI_MESSENGER_OFFLINE,Offline
UI_MESSENGER_ABSENT,AFK
UI_MESSENGER_HARDPLAY,Addict Mode
UI_MESSENGER_REST,Resting / Vending
UI_MESSENGER_EAT,Eating
UI_MESSENGER_MOVE,Moving
UI_MESSENGER_FRIEND,Friend
UI_MESSENGER_SORT_CHANNEL,Ch.
UI_MESSENGER_SORT_STATE,State
UI_MESSENGER_SORT_LEVEL,Level
UI_MESSENGER_SORT_NAME,Name
UI_MESSENGER_SORT_JOB,Job
UI_INSTANTMSG_JOIN,has logged into the game.
UI_OPTION_JOIN_NOTIFICATION,Message alarm
UI_MESSENGER_MENU_MESSAGE,Message
UI_MESSENGER_MENU_UNBLOCK,Unblock
UI_MESSENGER_MENU_BLOCK,Block
UI_MESSENGER_MENU_DELETE,Delete
UI_MESSENGER_MENU_MOVE,Move
UI_MESSENGER_MENU_TAGSEND,Send a memo
UI_MESSENGER_ADD_FRIEND,Add a new friend
UI_ADDFRIEND_TITLE,Add friend
UI_ADDFRIEND_NAME,Enter Player Name
UI_READMEMO_TITLE,Message Window
UI_SENDMEMO_TITLE,Message Sending Window
UI_POST_TITLE,Post
UI_POST_TAB_SEND,Send Mail
UI_POST_TAB_RECEIVE,Inbox
UI_OPTION_UISCALE,Scale
UI_OPTION_TEXTSCALE,Font Size
UI_IGNORELIST_TITLE,Ignore List
UI_IGNORELIST_COUNT,Ignored list: %d
UI_CHATFILTER_TITLE,Chatting Filter
UI_CHATFILTER_GENERAL,General
UI_CHATFILTER_WHISPER,Whisper
UI_CHATFILTER_SHOUT,Shout
UI_CHATFILTER_PARTY,Party
UI_CHATFILTER_GUILD,Guild
UI_CHATFILTER_RESET_COLORS,Reset Defaults
UI_POSTSEND_TO,Receiver
UI_POSTSEND_TITLE,Title
UI_POSTSEND_GOLD,Penya
UI_POSTSEND_PRICE,Rental Fee: %d Penya
UI_POSTSEND_SEND,Send
UI_ITEMSLOT_TITLE,Item confirmation
UI_ITEMSLOT_QUESTION,How many items?
UI_ITEMSLOT_COUNT,Count:
UI_POSTSEND_CONFIRM,Are you sure you want to send?\nMail expires after %d days
UI_POST_NO_MAIL,You don't have any mail
UI_POST_UNKNOWN,Unknown
UI_POST_RECEIVE_DATE,Date Received: %s
UI_POSTREAD_TITLE,Check Post Box
UI_POSTREAD_FROM,Sender
UI_POSTREAD_DELETE,Delete
UI_POSTREAD_DELETE_ALL,Delete all read mails
UI_POSTREAD_DELETEALL_CONFIRM,Delete selected mails? Items and penya will be deleted as well.
UI_POSTREAD_REPLY,Reply
UI_POSTREAD_DELETETITLE,Delete Mail
UI_POSTREAD_DELETECONFIRM,Delete this mail? Items and penya will be deleted as well.
UI_POSTREAD_MAILEXPIRED,Mail Expired
UI_POSTREAD_KEEP_PAY,This mail expired %d days ago. You must pay %s penya to recover it.
UI_QUEST_CANCEL,Remove quest
UI_QUEST_CANCEL_TIP,Cancel Quest in Progress
UI_QUEST_ALLQUESTS,All Quests
UI_QUEST_INPROGRESS,In Progress
UI_QUEST_COMPLETED,Completed
UI_QUEST_LIST,Quest List
UI_QUEST_DETAIL,Quest Details
UI_QUEST_REWARDS,Reward List
UI_QUEST_CONDITIONS,Quest Condition
UI_QUEST_GOLD1,Penya: %d
UI_QUEST_GOLD2,Penya: %d~%d
UI_QUEST_GOLD3,Penya: ????
UI_QUEST_EXP1,Experience Gained.
UI_QUEST_EXP2,Experience: %.2f%%
UI_QUEST_EXP_COUPLE,Couple Experience: %.2f%%
UI_QUEST_SKILLPOINT,Skill points
UI_QUEST_INVENTORYSLOT1,Inventory Space
UI_QUEST_INVENTORYSLOT2,Inventory Space: %d
UI_QUEST_MODIFY_KARMA1,Collected Karma Point: %d
UI_QUEST_MODIFY_KARMA2,Collected Karma Point: ????
UI_QUEST_ADD_KARMA1,Added Karma Point: %d
UI_QUEST_ADD_KARMA2,Added Karma Point: ????
UI_QUEST_ITEM1,Item: %s(%d)
UI_QUEST_ITEM2,Item: ????
UI_QUEST_COND_COMPLETED,Quest completed.
UI_QUEST_LIMIT_TIME,Time Left: #b%d minutes#nb
UI_QUEST_LIMIT_TIMEOUT,#bYou exceeded the time limit#nb
UI_QUEST_KILL_NPC,Defeat %s #cffc32f07#b%d/%d#nb#nc
UI_QUEST_ITEM,%s #cffc32f07#b%d/%d#nb#nc
UI_QUEST_PATROL,%s Search
UI_QUEST_COMPLETE_TEXT,[Complete]
UI_QUEST_NODISGUISE,Transformed into a human
UI_QUEST_DISGUISE,Transformed into %s
UI_QUEST_SKILLLVL,%s Skill Level #b(%d/%d)#nb
UI_QUEST_KARMA_POINT,Karma Point #b(%d %s %d)#nb
UI_QUEST_PARTY_SOLO,Going solo
UI_QUEST_PARTY,Create party
UI_QUEST_PARTY_LEADER,Party Leader
UI_QUEST_PARTY_MEMBER,Non-Party Leader
UI_QUEST_PARTY_NUM,Number of Party Members #b(%d %s %d)#nb
UI_QUEST_PARTY_LEADER_NUM,"Party Leader, Number of Party Members #b(%d %s %d)#nb"
UI_QUEST_PARTY_MEMBER_NUM,"Non-Party Leader, Number of Party Members #b(%d %s %d)#nb"
UI_QUEST_GUILD_SOLO,Non-Guild Mode
UI_QUEST_GUILD,Create Guild
UI_QUEST_GUILD_LEADER,Guild Leader
UI_QUEST_GUILD_MEMBER,Non-Guild Leader
UI_QUEST_GUILD_NUM,Number of Guild Members #b(%d %s %d)#nb
UI_QUEST_GUILD_LEADER_NUM,"Guild Leader, Number of Guild Members #b(%d %s %d)#nb"
UI_QUEST_GUILD_MEMBER_NUM,"Non-Guild Leader, Number of Guild Members #b(%d %s %d)#nb"
UI_QUEST_CHAOTIC1,You became a criminal.
UI_QUEST_CHAOTIC2,You have been acquitted of your crimes.
UI_QUEST_DIALOG,Chat with #cff78e12f%s#nc
UI_QUEST_DESTINATION,#bMeet #cff78e12f%s#nc#nb
UI_QUEST_CANCEL_CONFIRM,Are you going to cancel the quest?
UI_CONFIRMATION,Confirmation
UI_QUEST_DESTINATION_TITLE,Destination
UI_MSGBOX_INFO,Information
UI_OPTION_UIALPHA,Opacity
UI_QUESTGOAL,Quest Goal
UI_GUILD_TAB_INFO,Info
UI_GUILD_TAB_MEMBER,Members
UI_GUILD_TAB_GRADE,Titles
UI_GUILD_TAB_WAR,Guild Duel
UI_GUILD_NAME,Name:
UI_GUILD_NAME_BUTTON,Name
UI_GUILD_MASTER,Master:
UI_GUILD_EXP,Exp:
UI_GUILD_PENYA,Penya:
UI_GUILD_LEVEL,Level:
UI_GUILD_MEMBER,Members:
UI_GUILD_DISCORD_TIP,Join the Guild Discord.
UI_GUILD_LOGO,Logo:
UI_GUILD_LOGO_BUTTON,Logo
UI_GUILD_NOTICE,Notice
UI_GUILD_DISMISS,Dismiss
UI_GUILD_NOTICE_TIP,Set your guild's notice.
UI_GUILD_LOGO_TIP,Change your guild's logo.
UI_GUILD_NAME_TIP,This establishes your guild's name. It can be done only once.
UI_GUILD_DISMISS_TIP,"Disband your guild. Be careful, there's no going back!"
UI_GUILDNAME_ENTER,Enter Guild Name
UI_GUILDNAME_TITLE,Guild Name Setup
UI_GUILDNOTICE_TITLE,Guild Notice Setup
UI_GUILDNOTICESEARCH_TITLE,Guild Search Notice Setup
UI_GUILDNOTICE_NEW,New
UI_GUILDNOTICE_SAVE,Save
UI_GUILDNOTICE_NEW_TIP,Write new Guild Notice.
UI_GUILDNOTICE_SAVE_TIP,"Open the Notice, and send it to other characters."
UI_GUILDLOGO_TITLE,Guild Logo Setup
UI_GUILDDISMISS_TITLE,Disband Guild Confirmation
UI_GUILDDISMISS_CONFIRM,"Do you want to disband the guild? Keep in mind that if your guild owns a house, you will lose ownership of the guild house as well."
UI_GUILD_PAY,Salary
UI_GUILD_PAY_SETUP,Setup
UI_GUILD_GRADE_MEMBER,Members
UI_GUILD_POWERS,Powers
UI_GUILD_POWER_TITLE,Title
UI_GUILD_POWER_RANK,Rank
UI_GUILD_POWER_JOIN,Join
UI_GUILD_POWER_ITEM,Item
UI_GUILD_POWER_PENYA,Penya
UI_GUILD_POWER_SPECTATE,Spectate
UI_GUILD_POWER_TIP,Apply Settings
UI_GUILD_POWER_SAVE,Save
UI_GUILD_PAY_TIP,Set %s pay.(It will be paid at 00:00 automatically)
UI_GUILDPAY_TITLE,Setup Pay per Title
UI_GUILDPAY_MESSAGE,What amount will you set for payment?
UI_GUILDPAY_AMOUNT,Amount
UI_GUILD_GRADE,Title
UI_GUILD_ALIAS,Nickname
UI_GUILD_APPELATION_UP,Promote Member
UI_GUILD_APPELATION_DOWN,Demote Member
UI_GUILD_CLASS_UP,Class Up
UI_GUILD_CLASS_DOWN,Class Down
UI_GUILD_CREATE_ALIAS,Create Nickname
UI_GUILD_LEAVE,Leave Guild
UI_GUILD_TRANSFER_LEADER,Promote to Guild Master
UI_GUILDALIAS_TITLE,Setup Guild Title
UI_GUILDALIAS_ENTER,Enter Title
UI_GUILDINVITE_TITLE,Invite to Guild
UI_GUILDINVITE_QUESTION,%s invites you to join the guild %s. Do you accept?
UI_GUILD_JOINQUESTION,%s wants to join your guild. Do you accept?
UI_GUILDBANK_TITLE,Guild Safebox
UI_GUILDBANK_SUPPORT,Support
UI_GUILDBANK_CLOAK,Cloak
UI_GUILDBANK_ITEM,Item
UI_GUILDMERIT_TITLE,Guild Contributing
UI_GUILDMERIT_QUESTITEMS,Quest Items
UI_GUILDMERIT_PENYA,Penya
UI_GUILDCOMBATBOARD_TITLE,Guild Siege Information
UI_GUILDBANKLOG_TITLE,Guild Bank Log
UI_GUILDBANKLOG_ADDITEM,Add Item
UI_GUILDBANKLOG_REMOVEITEM,Remove Item
UI_GUILDBANKLOG_ADDGOLD,Deposit Penya
UI_GUILDBANKLOG_REMOVEGOLD,Withdraw Penya
UI_GUILDBANKLOG_ADDITEM_FORMAT,Add
UI_GUILDBANKLOG_REMOVEITEM_FORMAT,Remove
UI_GUILDBANKLOG_ADDGOLD_FORMAT,Deposit Penya
UI_GUILDBANKLOG_REMOVEGOLD_FORMAT,Withdraw Penya
UI_MOVEPENYA_TITLE,Transfer Penya
UI_MOVEPENYA_QUESTION,How many do you want to move?
UI_MOVEPENYA_INPUT,Penya:
UI_GUILDRANK_TITLE_GUILD,Guild Ranking
UI_GUILDRANK_TITLE_INFO,Other Ranking
UI_GUILDRANK_TITLE_WAR,Guild Duel Ranking
UI_GUILDRANK_TAB_WAR_WIN,Most Wins
UI_GUILDRANK_TAB_WAR_LOSE,Most Losses
UI_GUILDRANK_TAB_WAR_GIVEUP,Most Surrenders
UI_GUILDRANK_TAB_INFO_LEVEL,Highest Guild Level
UI_GUILDRANK_TAB_INFO_PLAYTIME,Longest Playtime
UI_GUILDRANK_TAB_GUILD_BEST,Best Guild
UI_GUILDRANK_TAB_GUILD_UNITED,Best Guild of Unity
UI_GUILDRANK_TAB_GUILD_PENYA,Richest Guild
UI_GUILDRANK_RANKING,Ranking
UI_GUILDRANK_GUILDNAME,Guild Name
UI_GUILDRANK_LEADERNAME,Master Name
UI_GUILDRANK_WINLOSE,Win / Lose
UI_GUILDRANK_AVGLEVEL,Average Level
UI_GUILD_WAR_DECLARE,Duel
UI_GUILD_WAR_PEACE,Peace
